2F900: CJKコンパチビリティアイディアグラフ-2F900
2F901: CJKコンパチビリティアイディアグラフ-2F901
2F902: CJKコンパチビリティアイディアグラフ-2F902
2F903: CJKコンパチビリティアイディアグラフ-2F903
2F904: CJKコンパチビリティアイディアグラフ-2F904
2F905: CJKコンパチビリティアイディアグラフ-2F905
2F906: CJKコンパチビリティアイディアグラフ-2F906
2F907: 表意文字（カント）泥、湿気CJK: バーン6
2F908: CJKコンパチビリティアイディアグラフ-2F908
2F909: CJKコンパチビリティアイディアグラフ-2F909
2F90A: CJKコンパチビリティアイディアグラフ-2F90A
2F90B: CJKコンパチビリティアイディアグラフ-2F90B
2F90C: CJKコンパチブルアイディアグラフ-2F90C
2F90D: CJKコンパチブルアイディアグラフ2F90D
2F90E: CJKコンパチビリティアイディアグラフ-2F90E
2F90F: CJKコンパチビリティアイディアグラフ-2F90F
2F910: CJKコンパチビリティアイディアグラフ-2F910
2F911: CJK互換性のある表意文字2F911
2F912: CJKコンパチビリティアイディアグラフ-2F912
2F913: CJK互換性のある表意文字2F913
2F914: CJKコンパチビリティアイディアグラフ-2F914
2F915: CJKコンパチビリティアイディアグラフ-2F915
2F916: CJKコンパチビリティアイディアグラフ-2F916
2F917: CJK互換性のある表意文字2F917
2F918: CJKコンパチビリティアイディアグラフ-2F918
2F919: CJK互換性のある表意文字2F919
2F91A: CJKコンパチビリティアイディアグラフ-2F91A
2F91B: CJK互換アイディアグラフ2F91B
2F91C: CJKコンパチブル・イデオグラフ-2F91C
2F91D: CJKコンパチビリティアイディアグラフ-2F91D
2F91E: CJKコンパチビリティアイディアグラフ-2F91E
2F91F: CJKコンパチビリティアイディアグラフ-2F91F
2F920: CJKコンパチビリティアイディアグラフ-2F920
2F921: CJK互換性のある表意文字2F921
2F922: CJKコンパチビリティアイディアグラフ-2F922
2F923: CJK互換性のある表意文字2F923
2F924: CJKコンパチビリティアイディアグラフ-2F924
2F925: CJKコンパチビリティアイディアグラフ-2F925
2F926: CJKコンパチビリティアイディアグラフ-2F926
2F927: CJKコンパチビリティアイディアグラフ-2F927
2F928: CJKコンパチビリティアイディアグラフ-2F928
2F929: CJKコンパチビリティアイディアグラフ-2F929
2F92A: CJKコンパチビリティアイディアグラフ-2F92A
2F92B: CJKコンパチビリティアイディアグラフ-2F92B
2F92C: CJKコンパチビリティアイディアグラフ-2F92C
2F92D: CJK互換性のある表意文字2F92D
2F92E: CJKコンパチビリティアイディアグラフ-2F92E
2F92F: CJKコンパチビリティアイディアグラフ-2F92F
2F930: CJKコンパチビリティアイディアグラフ-2F930
