17800: Tangut表意文字L2008-0506
17801: Tangut表意文字L2008-0206
17802: Tangut表意文字L2008-1614
17803: Tangut表意文字L2008-4603
17804: Tangut表意文字L2008-4586
17805: Tangut表意文字L2008-4596
17806: Tangut表意文字L2008-4530
17807: Tangut表意文字L2008-4508
17808: Tangut表意文字L2008-4547
17809: Tangut表意文字L2008-4543
1780A: Tangut表意文字L2008-4642
1780B: Tangut表意文字L2008-4621
1780C: Tangut表意文字L2008-4585
1780D: Tangut表意文字L2008-4580
1780E: Tangut表意文字L2008-4509
1780F: Tangut表意文字L2008-4608
17810: Tangut表意文字L2008-4551
17811: Tangut表意文字L2008-4552
17812: Tangut表意文字L2008-4511
17813: Tangut表意文字L2008-4563
17814: Tangut表意文字L2008-4568
17815: Tangut表意文字L2008-4649
17816: Tangut表意文字L2008-4643
17817: Tangut表意文字L2008-4635
17818: Tangut表意文字L2008-4668
17819: Tangut表意文字L2008-4650
1781A: Tangut表意文字L2008-4604
1781B: Tangut表意文字L2008-4617
1781C: Tangut表意文字L2008-4519
1781D: Tangut表意文字L2008-4541
1781E: Tangut表意文字L2008-4572
1781F: Tangut表意文字L2008-4571
17820: Tangut表意文字L2008-4644
17821: Tangut表意文字L2008-4669
17822: Tangut表意文字L2008-4636
17823: Tangut表意文字L2008-4667
17824: Tangut表意文字L2008-4581
17825: Tangut表意文字L2008-4651
17826: Tangut表意文字L2008-4582
17827: Tangut表意文字L2008-4589
17828: Tangut表意文字L2008-4545
17829: Tangut表意文字L2008-4542
1782A: Tangut表意文字L2008-4520
1782B: Tangut表意文字L2008-4534
1782C: Tangut表意文字L2008-4514
1782D: Tangut表意文字L2008-4533
1782E: Tangut表意文字L2008-4611
1782F: Tangut表意文字L2008-4653
17830: Tangut表意文字L2008-4658
17831: Tangut表意文字L2008-4657
17832: Tangut表意文字L2008-4583
17833: Tangut表意文字L2008-4606
17834: Tangut表意文字L2008-4623
17835: Tangut表意文字L2008-4532
17836: Tangut表意文字L2008-4638
17837: Tangut表意文字L2008-4592
17838: Tangut表意文字L2008-4612
17839: Tangut表意文字L2008-4584
1783A: Tangut表意文字L2008-4605
1783B: Tangut表意文字L2008-4597
1783C: Tangut表意文字L2008-4616
1783D: Tangut表意文字L2008-4613
1783E: Tangut表意文字L2008-4615
1783F: Tangut表意文字L2008-4564
