17400: Tangut表意文字L2008-3707
17401: Tangut表意文字L2008-3156
17402: Tangut表意文字L2008-3271
17403: Tangut表意文字L2008-3253
17404: Tangut表意文字L2008-2061
17405: Tangut表意文字L2008-2434
17406: Tangut表意文字L2008-3089
17407: Tangut表意文字L2008-3090
17408: Tangut表意文字L2008-3088
17409: Tangut表意文字L2008-2600
1740A: Tangut表意文字L2008-3558
1740B: Tangut表意文字L2008-3401
1740C: Tangut表意文字L2008-3432
1740D: Tangut表意文字L2008-3018
1740E: Tangut表意文字L2008-3391
1740F: Tangut表意文字L2008-3036
17410: Tangut表意文字L2008-3423
17411: Tangut表意文字L2008-3398
17412: Tangut表意文字L2008-3005
17413: Tangut表意文字L2008-3038
17414: Tangut表意文字L2008-3083
17415: Tangut表意文字L2008-3448
17416: Tangut表意文字L2008-3392
17417: Tangut表意文字L2008-3015
17418: Tangut表意文字L2008-3043
17419: Tangut表意文字L2008-3016
1741A: Tangut表意文字L2008-3188
1741B: Tangut表意文字L2008-2994
1741C: Tangut表意文字L2008-3008
1741D: Tangut表意文字L2008-3822
1741E: Tangut表意文字L2008-3825
1741F: Tangut表意文字L2008-3816
17420: Tangut表意文字L2008-3828
17421: Tangut表意文字L2008-3820
17422: Tangut表意文字L2008-3814
17423: Tangut表意文字L2008-3821
17424: Tangut表意文字L2008-3813
17425: Tangut表意文字L2008-3829
17426: Tangut表意文字L2008-3824
17427: Tangut表意文字L2008-3817
17428: Tangut表意文字L2008-3893
17429: Tangut表意文字L2008-3938
1742A: Tangut表意文字L2008-4775
1742B: Tangut表意文字L2008-4795
1742C: Tangut表意文字L2008-4933
1742D: Tangut表意文字L2008-4761
1742E: Tangut表意文字L2008-4676
1742F: Tangut表意文字L2008-4719
17430: Tangut表意文字L2008-4842
17431: Tangut表意文字L2008-4884
17432: Tangut表意文字L2008-5042
17433: Tangut表意文字L2008-4865
17434: Tangut表意文字L2008-4681
17435: Tangut表意文字L2008-4803
17436: Tangut表意文字L2008-4720
17437: Tangut表意文字L2008-4843
17438: Tangut表意文字L2008-4804
17439: Tangut表意文字L2008-4760
1743A: Tangut表意文字L2008-4794
1743B: Tangut表意文字L2008-4857
1743C: Tangut表意文字L2008-4858
1743D: Tangut表意文字L2008-5034
1743E: Tangut表意文字L2008-4921
1743F: Tangut表意文字L2008-4939
17440: Tangut表意文字L2008-4931
17441: Tangut表意文字L2008-4744
17442: Tangut表意文字L2008-5038
17443: Tangut表意文字L2008-5055
17444: Tangut表意文字L2008-5054
17445: Tangut表意文字L2008-4728
17446: Tangut表意文字L2008-4819
17447: Tangut表意文字L2008-4820
17448: Tangut表意文字L2008-4750
17449: Tangut表意文字L2008-4684
1744A: Tangut表意文字L2008-4759
1744B: Tangut表意文字L2008-4721
1744C: Tangut表意文字L2008-4866
1744D: Tangut表意文字L2008-5001
1744E: Tangut表意文字L2008-4942
1744F: Tangut表意文字L2008-4985
17450: Tangut表意文字L2008-4788
17451: Tangut表意文字L2008-4798
17452: Tangut表意文字L2008-4768
17453: Tangut表意文字L2008-4723
17454: Tangut表意文字L2008-4831
17455: Tangut表意文字L2008-4954
17456: Tangut表意文字L2008-4818
17457: Tangut表意文字L2008-4751
17458: Tangut表意文字L2008-4694
17459: Tangut表意文字L2008-4848
1745A: Tangut表意文字L2008-4853
1745B: Tangut表意文字L2008-4796
1745C: Tangut表意文字L2008-4690
1745D: Tangut表意文字L2008-4739
1745E: Tangut表意文字L2008-4678
1745F: Tangut表意文字L2008-4989
17460: Tangut表意文字L2008-4950
17461: Tangut表意文字L2008-5002
17462: Tangut表意文字H2004-A-1015
17463: Tangut表意文字L2008-4943
17464: Tangut表意文字L2008-4863
17465: Tangut表意文字L2008-4886
17466: Tangut表意文字L2008-4753
17467: Tangut表意文字L2008-4941
17468: Tangut表意文字L2008-4926
17469: Tangut表意文字L2008-4868
1746A: Tangut表意文字L2008-5045
1746B: Tangut表意文字L2008-5031
1746C: Tangut表意文字L2008-4799
1746D: Tangut表意文字L2008-4854
1746E: Tangut表意文字L2008-4901
1746F: Tangut表意文字L2008-5007
17470: Tangut表意文字L2008-4769
17471: Tangut表意文字L2008-4740
17472: Tangut表意文字L2008-4980
17473: Tangut表意文字L2008-4974
17474: Tangut表意文字L2008-5059
17475: Tangut表意文字L2008-4758
17476: Tangut表意文字L2008-4805
17477: Tangut表意文字L2008-4683
17478: Tangut表意文字L2008-4767
17479: Tangut表意文字L2008-4685
1747A: Tangut表意文字L2008-4789
1747B: Tangut表意文字L2008-4725
1747C: Tangut表意文字L2008-4709
1747D: Tangut表意文字L2008-4806
1747E: Tangut表意文字L2008-4902
1747F: Tangut表意文字L2008-4924
17480: Tangut表意文字L2008-4887
17481: Tangut表意文字L2008-4973
17482: Tangut表意文字L2008-5051
17483: Tangut表意文字L2008-4951
17484: Tangut表意文字L2008-4862
17485: Tangut表意文字L2008-4867
17486: Tangut表意文字L2008-5003
17487: Tangut表意文字L2008-4925
17488: Tangut表意文字L2008-4707
17489: Tangut表意文字L2008-5044
1748A: Tangut表意文字L2008-4673
1748B: Tangut表意文字L2008-4763
1748C: Tangut表意文字L2008-4955
1748D: Tangut表意文字L2008-5043
1748E: Tangut表意文字L2008-5048
1748F: Tangut表意文字L2008-6055
17490: Tangut表意文字L2008-5030
17491: Tangut表意文字L2008-4940
17492: Tangut表意文字L2008-4870
17493: Tangut表意文字L2008-4837
17494: Tangut表意文字L2008-4828
17495: Tangut表意文字L2008-4895
17496: Tangut表意文字L2008-4885
17497: Tangut表意文字L2008-5056
17498: Tangut表意文字L2008-5057
17499: Tangut表意文字L2008-5058
1749A: Tangut表意文字L2008-5035
1749B: Tangut表意文字L2008-4811
1749C: Tangut表意文字L2008-4970
1749D: Tangut表意文字L2008-4844
1749E: Tangut表意文字L2008-5018
1749F: Tangut表意文字L2008-4992
174A0: Tangut表意文字L2008-4724
174A1: Tangut表意文字L2008-4822
174A2: Tangut表意文字L2008-4708
174A3: Tangut表意文字L2008-4727
174A4: Tangut表意文字L2008-5004
174A5: Tangut表意文字L2008-4923
174A6: Tangut表意文字L2008-4975
174A7: Tangut表意文字L2008-4836
174A8: Tangut表意文字L2008-4696
174A9: Tangut表意文字L2008-4849
174AA: Tangut表意文字L2008-4752
174AB: Tangut表意文字L2008-4695
174AC: Tangut表意文字L2008-4722
174AD: Tangut表意文字L2008-4731
174AE: Tangut表意文字L2008-4823
174AF: Tangut表意文字L2008-4807
174B0: Tangut表意文字L2008-4932
174B1: Tangut表意文字L2008-4971
174B2: Tangut表意文字L2008-4972
174B3: Tangut表意文字L2008-4903
174B4: Tangut表意文字L2008-4988
174B5: Tangut表意文字L2008-4920
174B6: Tangut表意文字L2008-4969
174B7: Tangut表意文字L2008-4905
174B8: Tangut表意文字L2008-4949
174B9: Tangut表意文字L2008-4778
174BA: Tangut表意文字L2008-4801
174BB: Tangut表意文字L2008-4791
174BC: Tangut表意文字L2008-4808
174BD: Tangut表意文字L2008-5005
174BE: Tangut表意文字L2008-4825
174BF: Tangut表意文字L2008-4845
174C0: Tangut表意文字L2008-4746
174C1: Tangut表意文字L2008-5026
174C2: Tangut表意文字L2008-4993
174C3: Tangut表意文字L2008-4692
174C4: Tangut表意文字L2008-5039
174C5: Tangut表意文字L2008-5040
174C6: Tangut表意文字L2008-5024
174C7: Tangut表意文字L2008-4968
174C8: Tangut表意文字L2008-4729
174C9: Tangut表意文字L2008-4869
174CA: Tangut表意文字L2008-5011
174CB: Tangut表意文字L2008-5060
174CC: Tangut表意文字L2008-5032
174CD: Tangut表意文字L2008-4826
174CE: Tangut表意文字L2008-4850
174CF: Tangut表意文字L2008-4810
174D0: Tangut表意文字L2008-4691
174D1: Tangut表意文字L2008-4976
174D2: Tangut表意文字L2008-4977
174D3: Tangut表意文字L2008-4762
174D4: Tangut表意文字L2008-4832
174D5: Tangut表意文字L2008-4987
174D6: Tangut表意文字L2008-4733
174D7: Tangut表意文字L2008-4706
174D8: Tangut表意文字L2008-4784
174D9: Tangut表意文字L2008-4776
174DA: Tangut表意文字L2008-4737
174DB: Tangut表意文字L2008-4718
174DC: Tangut表意文字L2008-4754
174DD: Tangut表意文字L2008-4910
174DE: Tangut表意文字L2008-5012
174DF: Tangut表意文字L2008-4934
174E0: Tangut表意文字L2008-5052
174E1: Tangut表意文字L2008-5050
174E2: Tangut表意文字L2008-4893
174E3: Tangut表意文字L2008-4944
174E4: Tangut表意文字L2008-4864
174E5: Tangut表意文字L2008-4937
174E6: Tangut表意文字L2008-4922
174E7: Tangut表意文字L2008-4938
174E8: Tangut表意文字L2008-5028
174E9: Tangut表意文字L2008-4809
174EA: Tangut表意文字L2008-4792
174EB: Tangut表意文字L2008-4960
174EC: Tangut表意文字L2008-4982
174ED: Tangut表意文字L2008-4824
174EE: Tangut表意文字L2008-5025
174EF: Tangut表意文字L2008-5027
174F0: Tangut表意文字L2008-4693
174F1: Tangut表意文字L2008-4978
174F2: Tangut表意文字L2008-4790
174F3: Tangut表意文字L2008-4736
174F4: Tangut表意文字L2008-4838
174F5: Tangut表意文字L2008-4927
174F6: Tangut表意文字L2008-5006
174F7: Tangut表意文字L2008-4686
174F8: Tangut表意文字L2008-5016
174F9: Tangut表意文字L2008-4914
174FA: Tangut表意文字L2008-4957
174FB: Tangut表意文字L2008-4687
174FC: Tangut表意文字L2008-4847
174FD: Tangut表意文字L2008-4710
174FE: Tangut表意文字L2008-4990
174FF: Tangut表意文字L2008-4913
