17100: Tangut表意文字L2008-0061
17101: Tangut表意文字L2008-0076
17102: Tangut表意文字L2008-6000
17103: Tangut表意文字L2008-6002
17104: Tangut表意文字L2008-0064
17105: Tangut表意文字L2008-6004
17106: Tangut表意文字L2008-6003
17107: Tangut表意文字L2006-6027
17108: Tangut表意文字L2008-0009
17109: Tangut表意文字L2008-0049
1710A: Tangut表意文字L2008-0010
1710B: Tangut表意文字L2008-0052
1710C: Tangut表意文字L2008-5995
1710D: Tangut表意文字L2008-6001
1710E: Tangut表意文字L2008-0142
1710F: Tangut表意文字L2008-5997
17110: Tangut表意文字L2008-0081
17111: Tangut表意文字L2008-0027
17112: Tangut表意文字L2008-0094
17113: Tangut表意文字L2008-0108
17114: Tangut表意文字L2008-0086
17115: Tangut表意文字L2008-0132
17116: Tangut表意文字L2008-0123
17117: Tangut表意文字L2008-6005
17118: Tangut表意文字L2008-5996
17119: Tangut表意文字L2008-5998
1711A: Tangut表意文字L2008-6006
1711B: Tangut表意文字L2008-0019
1711C: Tangut表意文字L2008-0079
1711D: Tangut表意文字L2008-4505
1711E: Tangut表意文字L2008-4539
1711F: Tangut表意文字L2008-4528
17120: Tangut表意文字L2008-4524
17121: Tangut表意文字L2008-4529
17122: Tangut表意文字L2008-4544
17123: Tangut表意文字L2008-4538
17124: Tangut表意文字L2008-4536
17125: Tangut表意文字L2008-4550
17126: Tangut表意文字L2008-4527
17127: Tangut表意文字L2008-4549
17128: Tangut表意文字L2008-4506
17129: Tangut表意文字L2008-1948
1712A: Tangut表意文字L2008-2361
1712B: Tangut表意文字L2008-2927
1712C: Tangut表意文字L2008-1965
1712D: Tangut表意文字L2008-1941
1712E: Tangut表意文字L2008-1985
1712F: Tangut表意文字L2008-2701
17130: Tangut表意文字L2008-2981
17131: Tangut表意文字L2008-2354
17132: Tangut表意文字H2004-B-0284
17133: Tangut表意文字L2008-3762
17134: Tangut表意文字L2008-3488-3489
17135: Tangut表意文字L2008-3477
17136: Tangut表意文字L2008-3474
17137: Tangut表意文字L2008-2823
17138: Tangut表意文字L2008-1942
17139: Tangut表意文字L2008-1947
1713A: Tangut表意文字L2008-2362
1713B: Tangut表意文字L2008-2699
1713C: Tangut表意文字L2008-3456
1713D: Tangut表意文字L2008-3763
1713E: Tangut表意文字L2008-2931
1713F: Tangut表意文字L2008-3497
17140: Tangut表意文字L2008-3491
17141: Tangut表意文字L2008-2983
17142: Tangut表意文字L2008-2708
17143: Tangut表意文字L2008-2709
17144: Tangut表意文字L2008-2700
17145: Tangut表意文字L2008-2938
17146: Tangut表意文字L2008-2833
17147: Tangut表意文字L2008-1962
17148: Tangut表意文字L2008-0016
17149: Tangut表意文字L2008-1906
1714A: Tangut表意文字L2008-1963
1714B: Tangut表意文字L2008-1918
1714C: Tangut表意文字L2008-3498
1714D: Tangut表意文字L2008-2702
1714E: Tangut表意文字L2008-3490
1714F: Tangut表意文字L2008-2913
17150: Tangut表意文字L2008-2909
17151: Tangut表意文字L2008-2911
17152: Tangut表意文字L2008-2982
17153: Tangut表意文字L2008-2917
17154: Tangut表意文字L2008-1943
17155: Tangut表意文字L2008-1949
17156: Tangut表意文字L2008-1944
17157: Tangut表意文字L2008-2960
17158: Tangut表意文字L2008-1914
