17000: Tangut表意文字L2008-0008
17001: Tangut表意文字L2008-0030
17002: Tangut表意文字L2008-0101
17003: Tangut表意文字L2008-0038
17004: Tangut表意文字L2008-0026
17005: Tangut表意文字L2008-0013
17006: Tangut表意文字L2008-0065
17007: Tangut表意文字L2008-0005
17008: Tangut表意文字L2008-0087
17009: Tangut表意文字L2008-0066
1700A: Tangut表意文字L2008-0104
1700B: Tangut表意文字L2008-0080
1700C: Tangut表意文字L2008-0116
1700D: Tangut表意文字L2008-0025
1700E: Tangut表意文字L2008-0056
1700F: Tangut表意文字L2008-0017
17010: Tangut表意文字L2008-0143
17011: Tangut表意文字L2008-0067
17012: Tangut表意文字L2008-0068
17013: Tangut表意文字L2008-0147
17014: Tangut表意文字L2008-0089
17015: Tangut表意文字L2008-0035
17016: Tangut表意文字L2008-0069
17017: Tangut表意文字L2008-0145
17018: Tangut表意文字L2008-0070
17019: Tangut表意文字L2008-0082
1701A: Tangut表意文字L2008-4507
1701B: Tangut表意文字L2008-0042-4537
1701C: Tangut表意文字L2008-0043
1701D: Tangut表意文字L2008-0090
1701E: Tangut表意文字L2008-0148
1701F: Tangut表意文字L2008-0050
17020: Tangut表意文字L2008-0084
17021: Tangut表意文字L2008-0095
17022: Tangut表意文字L2008-4516
17023: Tangut表意文字L2008-0057-4548
17024: Tangut表意文字L2008-0044
17025: Tangut表意文字L2008-0088
17026: Tangut表意文字S1968-0077
17027: Tangut表意文字L2008-0097
17028: Tangut表意文字L2008-0018
17029: Tangut表意文字L2008-0077
1702A: Tangut表意文字L2008-0085
1702B: Tangut表意文字L2008-0014
1702C: Tangut表意文字L2008-0117
1702D: Tangut表意文字L2008-0048
1702E: Tangut表意文字L2008-0091
1702F: Tangut表意文字L2008-0099
17030: Tangut表意文字L2008-1939
17031: Tangut表意文字L2008-1961
17032: Tangut表意文字L2008-1952
17033: Tangut表意文字L2008-3483
17034: Tangut表意文字L2008-2955
17035: Tangut表意文字L2008-2380
17036: Tangut表意文字L2008-2954
17037: Tangut表意文字L2008-2561
17038: Tangut表意文字L2008-3472
17039: Tangut表意文字L2008-3766
1703A: Tangut表意文字L2008-3484
1703B: Tangut表意文字L2008-2979
1703C: Tangut表意文字L2008-2907
1703D: Tangut表意文字L2008-2948
1703E: Tangut表意文字L2008-2991
1703F: Tangut表意文字L2008-1895
17040: Tangut表意文字L2008-2946
17041: Tangut表意文字L2008-2562
17042: Tangut表意文字L2008-3757
17043: Tangut表意文字L2008-3486
17044: Tangut表意文字L2008-3449
17045: Tangut表意文字L2008-3485
17046: Tangut表意文字L2008-2381
17047: Tangut表意文字L2008-1984
17048: Tangut表意文字L2008-1919
17049: Tangut表意文字L2008-3759
1704A: Tangut表意文字L2008-3487
1704B: Tangut表意文字L2008-2936
1704C: Tangut表意文字L2008-2710
1704D: Tangut表意文字L2008-1925
1704E: Tangut表意文字L2008-2959
1704F: Tangut表意文字L2008-2930
17050: Tangut表意文字L2008-1940
17051: Tangut表意文字L2008-2386
17052: Tangut表意文字L2008-1972
17053: Tangut表意文字L2008-2553
17054: Tangut表意文字L2008-1975
17055: Tangut表意文字L2008-1960
17056: Tangut表意文字L2008-2956
17057: Tangut表意文字L2008-2919
17058: Tangut表意文字L2008-2971
17059: Tangut表意文字L2008-2941A
1705A: Tangut表意文字L2008-2941B
1705B: Tangut表意文字L2008-3466
1705C: Tangut表意文字L2008-2713
1705D: Tangut表意文字L2008-1920
1705E: Tangut表意文字L2008-2973
1705F: Tangut表意文字L2008-2564
