17300: Tangut表意文字L2008-3025
17301: Tangut表意文字L2008-3001
17302: Tangut表意文字L2008-6024
17303: Tangut表意文字L2008-2012
17304: Tangut表意文字L2008-2418
17305: Tangut表意文字L2008-2049
17306: Tangut表意文字L2008-3555
17307: Tangut表意文字L2008-3549
17308: Tangut表意文字L2008-2727
17309: Tangut表意文字L2008-2399
1730A: Tangut表意文字L2008-2405
1730B: Tangut表意文字L2008-3060
1730C: Tangut表意文字L2008-1997
1730D: Tangut表意文字L2008-3049
1730E: Tangut表意文字L2008-3050
1730F: Tangut表意文字L2008-3028
17310: Tangut表意文字L2008-6039
17311: Tangut表意文字L2008-6025
17312: Tangut表意文字L2008-3061
17313: Tangut表意文字L2008-2729
17314: Tangut表意文字L2008-3537
17315: Tangut表意文字L2008-3007A
17316: Tangut表意文字L2008-3007B
17317: Tangut表意文字L2008-3053
17318: Tangut表意文字L2008-2009
17319: Tangut表意文字L2008-3065
1731A: Tangut表意文字L2008-3068
1731B: Tangut表意文字L2008-3059
1731C: Tangut表意文字L2008-3052
1731D: Tangut表意文字L2008-2007
1731E: Tangut表意文字L2008-2846
1731F: Tangut表意文字L2008-6043
17320: Tangut表意文字L2008-3556
17321: Tangut表意文字L2008-2014
17322: Tangut表意文字L2008-3002
17323: Tangut表意文字L2008-3524
17324: Tangut表意文字L2008-3034
17325: Tangut表意文字L2008-2998
17326: Tangut表意文字L2008-1998
17327: Tangut表意文字L2008-2006
17328: Tangut表意文字L2008-2050
17329: Tangut表意文字L2008-3557
1732A: Tangut表意文字L2008-3082
1732B: Tangut表意文字L2008-6038
1732C: Tangut表意文字L2008-3066
1732D: Tangut表意文字L2008-1542
1732E: Tangut表意文字L2008-1543
1732F: Tangut表意文字L2008-1628
17330: Tangut表意文字L2008-1633
17331: Tangut表意文字L2008-1664
17332: Tangut表意文字L2008-1063
17333: Tangut表意文字L2008-1096
17334: Tangut表意文字L2008-1230
17335: Tangut表意文字L2008-1306
17336: Tangut表意文字L2008-0784
17337: Tangut表意文字L2008-1869
17338: Tangut表意文字L2008-1732
17339: Tangut表意文字L2008-0558
1733A: Tangut表意文字L2008-1748
1733B: Tangut表意文字L2008-1346
1733C: Tangut表意文字L2008-0338
1733D: Tangut表意文字L2008-0804
1733E: Tangut表意文字L2008-1269
1733F: Tangut表意文字L2008-0687
17340: Tangut表意文字L2008-0789
17341: Tangut表意文字L2008-0289
17342: Tangut表意文字L2008-0377
17343: Tangut表意文字L2008-0805
17344: Tangut表意文字L2008-0806
17345: Tangut表意文字L2008-0270
17346: Tangut表意文字L2008-0358
17347: Tangut表意文字L2008-1706
17348: Tangut表意文字L2008-1201
17349: Tangut表意文字L2008-0599
1734A: Tangut表意文字L2008-0290
1734B: Tangut表意文字L2008-0269
1734C: Tangut表意文字L2008-0280
1734D: Tangut表意文字L2008-0281
1734E: Tangut表意文字L2008-0537
1734F: Tangut表意文字L2008-0586
17350: Tangut表意文字L2008-0326
17351: Tangut表意文字L2008-0823
17352: Tangut表意文字L2008-1307
17353: Tangut表意文字L2008-0313
17354: Tangut表意文字L2008-0325
17355: Tangut表意文字L2008-0266
17356: Tangut表意文字L2008-0291
17357: Tangut表意文字L2008-1768
17358: Tangut表意文字L2008-0538
17359: Tangut表意文字L2008-1381
1735A: Tangut表意文字L2008-1193
1735B: Tangut表意文字L2008-1412
1735C: Tangut表意文字L2008-1272
1735D: Tangut表意文字L2008-0371
1735E: Tangut表意文字L2008-0885
1735F: Tangut表意文字L2008-1769
17360: Tangut表意文字L2008-1685
17361: Tangut表意文字L2008-0309
17362: Tangut表意文字L2008-1775
17363: Tangut表意文字L2008-4459
17364: Tangut表意文字L2008-0620
17365: Tangut表意文字L2008-0015
17366: Tangut表意文字L2008-0028
17367: Tangut表意文字L2008-0112
17368: Tangut表意文字L2008-4050
17369: Tangut表意文字L2008-4049
1736A: Tangut表意文字L2008-4029
1736B: Tangut表意文字L2008-4027
1736C: Tangut表意文字L2008-4048
1736D: Tangut表意文字L2008-4088
