17700: Tangut表意文字L2008-4324
17701: Tangut表意文字L2008-4178
17702: Tangut表意文字L2008-4102
17703: Tangut表意文字L2008-4372
17704: Tangut表意文字L2008-4210
17705: Tangut表意文字L2008-4227
17706: Tangut表意文字L2008-4154
17707: Tangut表意文字L2008-4242
17708: Tangut表意文字L2008-4401
17709: Tangut表意文字L2008-4304
1770A: Tangut表意文字L2008-4428
1770B: Tangut表意文字L2008-4187
1770C: Tangut表意文字L2008-4386
1770D: Tangut表意文字L2008-4225
1770E: Tangut表意文字L2008-4393
1770F: Tangut表意文字L2008-4415
17710: Tangut表意文字L2008-4408
17711: Tangut表意文字L2008-4166
17712: Tangut表意文字L2008-4201
17713: Tangut表意文字L2008-4184
17714: Tangut表意文字L2008-4395
17715: Tangut表意文字L2008-4244
17716: Tangut表意文字L2008-4230
17717: Tangut表意文字L2008-4203
17718: Tangut表意文字L2008-4262
17719: Tangut表意文字L2008-4365
1771A: Tangut表意文字L2008-4126
1771B: Tangut表意文字L2008-4285
1771C: Tangut表意文字L2008-4349
1771D: Tangut表意文字L2008-4220
1771E: Tangut表意文字L2008-4191
1771F: Tangut表意文字L2008-4107
17720: Tangut表意文字L2008-4150
17721: Tangut表意文字L2008-4134
17722: Tangut表意文字L2008-4429
17723: Tangut表意文字L2008-4292
17724: Tangut表意文字L2008-4346
17725: Tangut表意文字L2008-4303
17726: Tangut表意文字L2008-4226
17727: Tangut表意文字L2008-4295
17728: Tangut表意文字L2008-4380
17729: Tangut表意文字L2008-4320
1772A: Tangut表意文字L2008-4348
1772B: Tangut表意文字L2008-4293
1772C: Tangut表意文字L2008-4248
1772D: Tangut表意文字L2008-4371
1772E: Tangut表意文字L2008-4370
1772F: Tangut表意文字L2008-4190
17730: Tangut表意文字L2008-4305
17731: Tangut表意文字L2008-4151
17732: Tangut表意文字L2008-4308
17733: Tangut表意文字L2008-4419
17734: Tangut表意文字L2008-4417
17735: Tangut表意文字L2008-4392
17736: Tangut表意文字L2008-4375
17737: Tangut表意文字L2008-4325
17738: Tangut表意文字L2008-4326
17739: Tangut表意文字L2008-4101
1773A: Tangut表意文字L2008-4221
1773B: Tangut表意文字L2008-4368
1773C: Tangut表意文字L2008-4354
1773D: Tangut表意文字L2008-4283
1773E: Tangut表意文字L2008-4330
1773F: Tangut表意文字L2008-4254
17740: Tangut表意文字L2008-4313
17741: Tangut表意文字L2008-4182
17742: Tangut表意文字L2008-4396
17743: Tangut表意文字L2008-4147
17744: Tangut表意文字L2008-4112
17745: Tangut表意文字L2006-6051
17746: Tangut表意文字L2008-4407
17747: Tangut表意文字L2008-4403
17748: Tangut表意文字L2008-4356
17749: Tangut表意文字L2008-4111
1774A: Tangut表意文字L2008-4427
1774B: Tangut表意文字L2008-4410
1774C: Tangut表意文字L2008-4185
1774D: Tangut表意文字L2008-4202
1774E: Tangut表意文字L2008-4189
1774F: Tangut表意文字L2008-4237
17750: Tangut表意文字L2008-4236
17751: Tangut表意文字L2008-4390
17752: Tangut表意文字L2008-4113
17753: Tangut表意文字L2008-4114
17754: Tangut表意文字L2008-4158
17755: Tangut表意文字L2008-4194
17756: Tangut表意文字L2008-4186
17757: Tangut表意文字L2008-4108
17758: Tangut表意文字L2008-4131
17759: Tangut表意文字L2008-4257
1775A: Tangut表意文字L2008-4379
1775B: Tangut表意文字L2008-4366
1775C: Tangut表意文字L2008-4133
1775D: Tangut表意文字L2008-4362
1775E: Tangut表意文字L2008-4238
1775F: Tangut表意文字L2008-4382
17760: Tangut表意文字L2008-4250
17761: Tangut表意文字L2008-4321
17762: Tangut表意文字L2008-4299
17763: Tangut表意文字L2008-4309
17764: Tangut表意文字L2008-4286
17765: Tangut表意文字L2008-4117
17766: Tangut表意文字L2008-4249
17767: Tangut表意文字L2008-4132
17768: Tangut表意文字L2008-4193
17769: Tangut表意文字L2008-4200
1776A: Tangut表意文字L2008-4418
1776B: Tangut表意文字L2008-4306
1776C: Tangut表意文字L2008-4266
1776D: Tangut表意文字L2008-4369
1776E: Tangut表意文字L2008-4287
1776F: Tangut表意文字L2008-4328
17770: Tangut表意文字L2008-4378
17771: Tangut表意文字L2008-4352
17772: Tangut表意文字L2008-4338
17773: Tangut表意文字L2008-4116
17774: Tangut表意文字L2008-6049
17775: Tangut表意文字L2008-4367
17776: Tangut表意文字L2008-4397
17777: Tangut表意文字L2008-4331
17778: Tangut表意文字L2008-4402
17779: Tangut表意文字L2008-4139
1777A: Tangut表意文字L2008-4121
1777B: Tangut表意文字L2008-4104
1777C: Tangut表意文字L2008-4097
1777D: Tangut表意文字L2008-4284
1777E: Tangut表意文字L2008-4398
1777F: Tangut表意文字L2008-4269
17780: Tangut表意文字L2008-4335
17781: Tangut表意文字L2008-4399
17782: Tangut表意文字L2008-4258
17783: Tangut表意文字L2008-4259
17784: Tangut表意文字L2008-4270
17785: Tangut表意文字L2008-4294
17786: Tangut表意文字L2008-4377
17787: Tangut表意文字L2008-4347
17788: Tangut表意文字L2008-4267
17789: Tangut表意文字L2008-4232
1778A: Tangut表意文字L2008-4381
1778B: Tangut表意文字L2008-4317
1778C: Tangut表意文字L2008-4118
1778D: Tangut表意文字L2008-4127
1778E: Tangut表意文字L2008-4243
1778F: Tangut表意文字L2008-4360
17790: Tangut表意文字L2008-4228
17791: Tangut表意文字L2008-4241
17792: Tangut表意文字L2008-4387
17793: Tangut表意文字L2008-4263
17794: Tangut表意文字L2008-4135
17795: Tangut表意文字L2008-4222
17796: Tangut表意文字L2008-4329
17797: Tangut表意文字L2008-6050
17798: Tangut表意文字L2008-4394
17799: Tangut表意文字L2008-4231
1779A: Tangut表意文字L2008-4264
1779B: Tangut表意文字L2008-4422
1779C: Tangut表意文字L2008-4168
1779D: Tangut表意文字L2008-4115
1779E: Tangut表意文字L2008-4342
1779F: Tangut表意文字L2008-4300
177A0: Tangut表意文字L2008-4141
177A1: Tangut表意文字L2008-4196
177A2: Tangut表意文字L2008-4322
177A3: Tangut表意文字L2008-4253
177A4: Tangut表意文字L2008-4268
177A5: Tangut表意文字L2008-4298
177A6: Tangut表意文字L2008-4323
177A7: Tangut表意文字L2008-4358
177A8: Tangut表意文字L2008-4195
177A9: Tangut表意文字L2008-4353
177AA: Tangut表意文字L2008-4140
177AB: Tangut表意文字L2008-4129
177AC: Tangut表意文字L2008-4271
177AD: Tangut表意文字L2008-4120
177AE: Tangut表意文字L2008-4355
177AF: Tangut表意文字L2008-4093
177B0: Tangut表意文字L2008-4420
177B1: Tangut表意文字L2008-4137
177B2: Tangut表意文字L2008-4105
177B3: Tangut表意文字L2008-4094
177B4: Tangut表意文字L2008-4251
177B5: Tangut表意文字L2008-4364
177B6: Tangut表意文字L2008-4363
177B7: Tangut表意文字L2008-4240
177B8: Tangut表意文字L2008-4359
177B9: Tangut表意文字H2004-A-1805
177BA: Tangut表意文字L2008-4260
177BB: Tangut表意文字L2008-4128
177BC: Tangut表意文字L2008-4197
177BD: Tangut表意文字L2008-4314
177BE: Tangut表意文字L2008-4265
177BF: Tangut表意文字L2008-4288
177C0: Tangut表意文字L2008-4385
177C1: Tangut表意文字L2008-4337
177C2: Tangut表意文字L2008-4255
177C3: Tangut表意文字L2008-4339
177C4: Tangut表意文字L2008-4391
177C5: Tangut表意文字L2008-4340
177C6: Tangut表意文字L2008-4261
177C7: Tangut表意文字L2008-4273
177C8: Tangut表意文字L2008-4272
177C9: Tangut表意文字L2008-4388
177CA: Tangut表意文字L2008-4327
177CB: Tangut表意文字L2008-4183
177CC: Tangut表意文字L2008-4290
177CD: Tangut表意文字L2008-4130
177CE: Tangut表意文字L2008-4289
177CF: Tangut表意文字L2008-4223
177D0: Tangut表意文字L2008-4336
177D1: Tangut表意文字L2008-4239
177D2: Tangut表意文字L2008-4119
177D3: Tangut表意文字L2008-4389
177D4: Tangut表意文字L2008-4233
177D5: Tangut表意文字L2008-6048
177D6: Tangut表意文字L2008-4198
177D7: Tangut表意文字L2008-4558
177D8: Tangut表意文字L2008-0604
177D9: Tangut表意文字L2008-4633
177DA: Tangut表意文字L2008-5944
177DB: Tangut表意文字L2008-4567
177DC: Tangut表意文字L2008-2520
177DD: Tangut表意文字L2008-2297
177DE: Tangut表意文字L2008-4664
177DF: Tangut表意文字L2008-3722
177E0: Tangut表意文字L2008-1285
177E1: Tangut表意文字L2008-1875
177E2: Tangut表意文字L2008-1727
177E3: Tangut表意文字L2008-1382
177E4: Tangut表意文字L2008-0714
177E5: Tangut表意文字L2008-1868
177E6: Tangut表意文字L2008-0598
177E7: Tangut表意文字L2008-1700
177E8: Tangut表意文字L2008-1770
177E9: Tangut表意文字L2008-1393
177EA: Tangut表意文字L2008-0815
177EB: Tangut表意文字L2008-0306
177EC: Tangut表意文字L2008-0816
177ED: Tangut表意文字L2008-1274
177EE: Tangut表意文字L2008-1855
177EF: Tangut表意文字L2008-0876
177F0: Tangut表意文字L2008-1701
177F1: Tangut表意文字L2008-0748
177F2: Tangut表意文字L2008-1014
177F3: Tangut表意文字L2008-0226
177F4: Tangut表意文字L2008-0652
177F5: Tangut表意文字L2008-0167
177F6: Tangut表意文字L2008-0481
177F7: Tangut表意文字L2008-0168
177F8: Tangut表意文字L2008-1847
177F9: Tangut表意文字L2008-1591
177FA: Tangut表意文字L2008-1645
177FB: Tangut表意文字L2008-0749
177FC: Tangut表意文字L2008-0180
177FD: Tangut表意文字L2008-0227
177FE: Tangut表意文字L2008-1138
177FF: Tangut表意文字L2008-0850
