17600: Tangut表意文字L2008-1203
17601: Tangut表意文字L2008-0285
17602: Tangut表意文字L2008-1200
17603: Tangut表意文字L2008-0286
17604: Tangut表意文字L2008-1313
17605: Tangut表意文字L2008-1375
17606: Tangut表意文字L2008-1314
17607: Tangut表意文字L2008-6013
17608: Tangut表意文字L2008-1219
17609: Tangut表意文字L2008-0379
1760A: Tangut表意文字L2008-0318
1760B: Tangut表意文字L2008-1347
1760C: Tangut表意文字L2008-0559
1760D: Tangut表意文字L2008-0257
1760E: Tangut表意文字L2008-0332
1760F: Tangut表意文字L2008-0267
17610: Tangut表意文字L2008-0560
17611: Tangut表意文字L2008-1765
17612: Tangut表意文字L2008-1749
17613: Tangut表意文字L2008-1703
17614: Tangut表意文字L2008-1169
17615: Tangut表意文字L2008-0292
17616: Tangut表意文字L2008-1766
17617: Tangut表意文字L2008-0319
17618: Tangut表意文字L2008-1717
17619: Tangut表意文字L2008-0587
1761A: Tangut表意文字L2008-1702
1761B: Tangut表意文字L2008-1367
1761C: Tangut表意文字L2008-0870
1761D: Tangut表意文字L2008-1615
1761E: Tangut表意文字L2008-0480
1761F: Tangut表意文字L2008-1080
17620: Tangut表意文字L2008-0158
17621: Tangut表意文字L2008-0737
17622: Tangut表意文字L2008-1004
17623: Tangut表意文字L2008-1589
17624: Tangut表意文字L2008-1070
17625: Tangut表意文字L2008-1021
17626: Tangut表意文字L2008-1058
17627: Tangut表意文字L2008-0969
17628: Tangut表意文字L2008-0970
17629: Tangut表意文字L2008-1103
1762A: Tangut表意文字L2008-1137
1762B: Tangut表意文字L2008-1192
1762C: Tangut表意文字L2008-1363
1762D: Tangut表意文字L2008-1299
1762E: Tangut表意文字L2008-1545
1762F: Tangut表意文字L2008-2536
17630: Tangut表意文字L2008-3022
17631: Tangut表意文字L2008-3086
17632: Tangut表意文字L2008-4440
17633: Tangut表意文字L2008-4460
17634: Tangut表意文字L2008-4450
17635: Tangut表意文字L2008-4458
17636: Tangut表意文字L2008-0936
17637: Tangut表意文字L2008-0222
17638: Tangut表意文字L2008-0202
17639: Tangut表意文字L2008-0162
1763A: Tangut表意文字L2008-0201
1763B: Tangut表意文字L2008-1124
1763C: Tangut表意文字L2008-0775
1763D: Tangut表意文字L2008-1631
1763E: Tangut表意文字L2008-1128
1763F: Tangut表意文字L2008-1140
17640: Tangut表意文字L2008-0773
17641: Tangut表意文字L2008-1849
17642: Tangut表意文字L2008-1027
17643: Tangut表意文字L2008-1661
17644: Tangut表意文字L2008-0751
17645: Tangut表意文字L2008-1594
17646: Tangut表意文字L2008-1081
17647: Tangut表意文字L2008-1008
17648: Tangut表意文字L2008-0182
17649: Tangut表意文字L2008-1129
1764A: Tangut表意文字L2008-0205
1764B: Tangut表意文字L2008-1028
1764C: Tangut表意文字L2008-0223
1764D: Tangut表意文字L2008-1642
1764E: Tangut表意文字L2008-1632
1764F: Tangut表意文字L2008-1586
17650: Tangut表意文字L2008-1007
17651: Tangut表意文字L2008-1010
17652: Tangut表意文字L2008-0498
17653: Tangut表意文字L2008-0209
17654: Tangut表意文字L2008-1643
17655: Tangut表意文字L2008-0165
17656: Tangut表意文字L2008-0659
17657: Tangut表意文字L2008-0164
17658: Tangut表意文字L2008-0178
17659: Tangut表意文字L2008-1006
1765A: Tangut表意文字L2008-0962
1765B: Tangut表意文字L2008-1005
1765C: Tangut表意文字L2008-0777
1765D: Tangut表意文字L2008-1845
1765E: Tangut表意文字L2008-0203
1765F: Tangut表意文字L2008-1009
17660: Tangut表意文字L2008-0855
17661: Tangut表意文字L2008-1029
17662: Tangut表意文字L2008-0653
17663: Tangut表意文字L2008-1644
17664: Tangut表意文字L2008-1123
17665: Tangut表意文字L2008-0161
17666: Tangut表意文字L2008-1613
17667: Tangut表意文字L2008-0937
17668: Tangut表意文字L2008-1650
17669: Tangut表意文字L2008-0846
1766A: Tangut表意文字L2008-1102
1766B: Tangut表意文字L2008-0774
1766C: Tangut表意文字L2008-0075
1766D: Tangut表意文字L2008-0224
1766E: Tangut表意文字L2008-1083
1766F: Tangut表意文字L2008-0845
17670: Tangut表意文字L2008-0492
17671: Tangut表意文字L2008-1590
17672: Tangut表意文字L2008-1634
17673: Tangut表意文字L2008-0754
17674: Tangut表意文字L2008-0177
17675: Tangut表意文字L2008-0279
17676: Tangut表意文字L2008-0364
17677: Tangut表意文字L2008-0567
17678: Tangut表意文字L2008-0329
17679: Tangut表意文字L2008-1369
1767A: Tangut表意文字L2008-0709
1767B: Tangut表意文字L2008-1675
1767C: Tangut表意文字L2008-1778
1767D: Tangut表意文字L2008-0799
1767E: Tangut表意文字L2008-0283
1767F: Tangut表意文字L2008-1756
17680: Tangut表意文字L2008-1351
17681: Tangut表意文字L2008-0368
17682: Tangut表意文字L2008-1683
17683: Tangut表意文字L2008-4143
17684: Tangut表意文字L2008-4144
17685: Tangut表意文字L2008-4383
17686: Tangut表意文字L2008-4206
17687: Tangut表意文字L2008-4146
17688: Tangut表意文字L2008-4276
17689: Tangut表意文字L2008-4172
1768A: Tangut表意文字L2008-4278
1768B: Tangut表意文字L2008-4207
1768C: Tangut表意文字L2008-4095
1768D: Tangut表意文字L2008-4411
1768E: Tangut表意文字L2008-4149
1768F: Tangut表意文字L2008-4096
17690: Tangut表意文字L2008-4315
17691: Tangut表意文字L2008-4099
17692: Tangut表意文字L2008-4163
17693: Tangut表意文字L2008-4175
17694: Tangut表意文字L2008-4173
17695: Tangut表意文字L2008-4281
17696: Tangut表意文字L2008-4247
17697: Tangut表意文字L2008-4277
17698: Tangut表意文字L2008-4275
17699: Tangut表意文字L2008-4145
1769A: Tangut表意文字L2008-4209
1769B: Tangut表意文字L2008-4174
1769C: Tangut表意文字L2008-4413
1769D: Tangut表意文字L2008-4350
1769E: Tangut表意文字L2008-4421
1769F: Tangut表意文字L2008-4192
176A0: Tangut表意文字L2008-4098
176A1: Tangut表意文字L2008-4148
176A2: Tangut表意文字L2008-4125
176A3: Tangut表意文字L2008-4297
176A4: Tangut表意文字L2008-4162
176A5: Tangut表意文字L2008-4157
176A6: Tangut表意文字L2008-4176
176A7: Tangut表意文字L2008-4205
176A8: Tangut表意文字L2008-4215
176A9: Tangut表意文字L2008-4343
176AA: Tangut表意文字L2008-4302
176AB: Tangut表意文字L2008-4165
176AC: Tangut表意文字L2008-4164
176AD: Tangut表意文字L2008-4142
176AE: Tangut表意文字L2008-4409
176AF: Tangut表意文字L2008-4384
176B0: Tangut表意文字L2008-4224
176B1: Tangut表意文字L2008-4229
176B2: Tangut表意文字L2008-4426
176B3: Tangut表意文字L2008-4219
176B4: Tangut表意文字L2008-4208
176B5: Tangut表意文字L2008-4252
176B6: Tangut表意文字L2008-4296
176B7: Tangut表意文字L2008-4361
176B8: Tangut表意文字L2008-4412
176B9: Tangut表意文字L2008-4180
176BA: Tangut表意文字L2008-4155
176BB: Tangut表意文字L2008-4100
176BC: Tangut表意文字L2008-4310
176BD: Tangut表意文字L2008-4171
176BE: Tangut表意文字L2008-4199
176BF: Tangut表意文字L2008-4153
176C0: Tangut表意文字L2008-4160
176C1: Tangut表意文字L2008-4334
176C2: Tangut表意文字L2008-4333
176C3: Tangut表意文字L2008-4106
176C4: Tangut表意文字L2008-4122
176C5: Tangut表意文字L2008-4177
176C6: Tangut表意文字L2008-4109
176C7: Tangut表意文字L2008-4159
176C8: Tangut表意文字L2008-4216
176C9: Tangut表意文字L2008-4213
176CA: Tangut表意文字L2008-4318
176CB: Tangut表意文字L2008-4212
176CC: Tangut表意文字L2008-4280
176CD: Tangut表意文字L2008-4376
176CE: Tangut表意文字L2008-4357
176CF: Tangut表意文字L2008-4307
176D0: Tangut表意文字L2008-4156
176D1: Tangut表意文字L2008-4152
176D2: Tangut表意文字L2008-4400
176D3: Tangut表意文字L2008-4414
176D4: Tangut表意文字L2008-4351
176D5: Tangut表意文字L2008-4211
176D6: Tangut表意文字L2008-4406
176D7: Tangut表意文字L2008-4138
176D8: Tangut表意文字L2008-4181
176D9: Tangut表意文字L2008-4167
176DA: Tangut表意文字L2008-4179
176DB: Tangut表意文字L2008-4204
176DC: Tangut表意文字L2008-4103
176DD: Tangut表意文字L2008-4246
176DE: Tangut表意文字L2008-4245
176DF: Tangut表意文字L2008-4234
176E0: Tangut表意文字L2008-4235
176E1: Tangut表意文字L2008-4188
176E2: Tangut表意文字L2008-4332
176E3: Tangut表意文字L2008-4341
176E4: Tangut表意文字L2008-4110
176E5: Tangut表意文字L2008-4170
176E6: Tangut表意文字L2008-4416
176E7: Tangut表意文字L2008-4161
176E8: Tangut表意文字L2008-4123
176E9: Tangut表意文字L2008-4136
176EA: Tangut表意文字L2008-4124
176EB: Tangut表意文字L2008-4404
176EC: Tangut表意文字L2008-4373
176ED: Tangut表意文字L2008-4345
176EE: Tangut表意文字L2008-4279
176EF: Tangut表意文字L2008-4217
176F0: Tangut表意文字L2008-4344
176F1: Tangut表意文字L2008-4424
176F2: Tangut表意文字L2008-4319
176F3: 西夏表意文字N1966-017-09K
176F4: Tangut表意文字L2008-4301
176F5: Tangut表意文字L2008-4312
176F6: Tangut表意文字L2008-4218
176F7: Tangut表意文字L2008-4374
176F8: Tangut表意文字L2008-4311
176F9: Tangut表意文字L2008-4169
176FA: Tangut表意文字L2008-4291
176FB: Tangut表意文字L2008-4316
176FC: Tangut表意文字L2008-4405
176FD: Tangut表意文字N1966-017-10D
176FE: Tangut表意文字L2008-4256
176FF: Tangut表意文字L2008-4282
