18000: Tangut表意文字L2008-2906
18001: Tangut表意文字L2008-2326
18002: Tangut表意文字L2008-3415
18003: Tangut表意文字L2008-4030
18004: Tangut表意文字L2008-4031
18005: Tangut表意文字L2008-4067
18006: Tangut表意文字L2008-3846
18007: Tangut表意文字L2008-3891
18008: Tangut表意文字L2008-3910
18009: Tangut表意文字L2008-3960
1800A: Tangut表意文字L2008-3913
1800B: Tangut表意文字L2008-3892
1800C: Tangut表意文字L2008-3887
1800D: Tangut表意文字L2008-3926
1800E: Tangut表意文字L2008-3925
1800F: Tangut表意文字L2008-3909
18010: Tangut表意文字L2008-3849
18011: Tangut表意文字L2008-3911
18012: Tangut表意文字L2008-3927
18013: Tangut表意文字L2008-3866
18014: Tangut表意文字L2008-3850
18015: Tangut表意文字L2008-3851
18016: Tangut表意文字L2008-3928
18017: Tangut表意文字L2008-3950
18018: Tangut表意文字L2008-3904
18019: Tangut表意文字L2008-3923
1801A: Tangut表意文字L2008-3906
1801B: Tangut表意文字L2008-3946
1801C: Tangut表意文字L2008-3888
1801D: Tangut表意文字L2008-3874
1801E: Tangut表意文字L2008-3882
1801F: Tangut表意文字L2008-3900
18020: Tangut表意文字L2008-3869
18021: Tangut表意文字L2008-3901
18022: Tangut表意文字L2008-3973
18023: Tangut表意文字L2008-3967
18024: Tangut表意文字L2008-3996
18025: Tangut表意文字L2008-3980
18026: Tangut表意文字L2008-3933
18027: Tangut表意文字L2008-3877
18028: Tangut表意文字L2008-3880
18029: Tangut表意文字L2008-3884
1802A: Tangut表意文字L2008-3873
1802B: Tangut表意文字L2008-3935
1802C: Tangut表意文字L2008-3876
1802D: Tangut表意文字L2008-3934
1802E: Tangut表意文字L2008-3932
1802F: Tangut表意文字L2008-3978
18030: Tangut表意文字L2008-3976
18031: Tangut表意文字S1968-3063
18032: Tangut表意文字L2008-4005
18033: Tangut表意文字L2008-4002
18034: Tangut表意文字L2008-3875
18035: Tangut表意文字L2008-3920
18036: Tangut表意文字L2008-3868
18037: Tangut表意文字L2008-3895
18038: Tangut表意文字L2008-4000
18039: Tangut表意文字L2008-3897
1803A: Tangut表意文字L2008-4003
1803B: Tangut表意文字L2008-3899
1803C: Tangut表意文字L2008-3898
1803D: Tangut表意文字L2008-3974
1803E: Tangut表意文字L2008-3902
1803F: Tangut表意文字L2008-4004
18040: Tangut表意文字L2008-3872
18041: Tangut表意文字L2008-3982
18042: Tangut表意文字L2008-5314
18043: Tangut表意文字L2008-5640
18044: Tangut表意文字L2008-5798
18045: Tangut表意文字L2008-5674
18046: Tangut表意文字L2008-5175
18047: Tangut表意文字L2008-5168
18048: Tangut表意文字L2008-5665
18049: Tangut表意文字L2008-5723
1804A: Tangut表意文字L2008-5180
1804B: Tangut表意文字L2008-5624
1804C: Tangut表意文字L2008-6061
1804D: Tangut表意文字L2008-5310
1804E: Tangut表意文字L2008-5548
1804F: Tangut表意文字L2008-4677
18050: Tangut表意文字L2008-4875
18051: Tangut表意文字L2008-4964
18052: Tangut表意文字L2008-4812
18053: Tangut表意文字L2008-4965
18054: Tangut表意文字L2008-4704
18055: Tangut表意文字L2008-4911
18056: Tangut表意文字L2008-4766
18057: Tangut表意文字L2008-5064
18058: Tangut表意文字L2008-5284
18059: Tangut表意文字L2008-5782
1805A: Tangut表意文字L2008-5116
1805B: Tangut表意文字L2008-5525
1805C: Tangut表意文字L2008-5572
1805D: Tangut表意文字L2008-5555
1805E: Tangut表意文字L2008-5416
1805F: Tangut表意文字L2008-5419
18060: Tangut表意文字L2008-5069
18061: Tangut表意文字L2008-5462
18062: Tangut表意文字L2008-5363
18063: Tangut表意文字L2008-5497
18064: Tangut表意文字L2008-5549
18065: Tangut表意文字L2008-5556
18066: Tangut表意文字L2008-5573
18067: Tangut表意文字L2008-5526
18068: Tangut表意文字L2008-5085
18069: Tangut表意文字L2008-5713
1806A: Tangut表意文字L2008-5721
1806B: Tangut表意文字L2008-5140
1806C: Tangut表意文字L2008-5535
1806D: Tangut表意文字L2008-5079
1806E: Tangut表意文字L2008-5070
1806F: Tangut表意文字L2008-5422
18070: Tangut表意文字L2008-5080
18071: Tangut表意文字L2008-5155
18072: Tangut表意文字L2008-5465
18073: Tangut表意文字L2008-5783
18074: Tangut表意文字L2008-5468
18075: Tangut表意文字L2008-5289
18076: Tangut表意文字L2008-5292
18077: Tangut表意文字L2008-5691
18078: Tangut表意文字L2008-5254
18079: Tangut表意文字L2008-5350
1807A: Tangut表意文字L2008-5690
1807B: Tangut表意文字L2008-5315
1807C: Tangut表意文字L2008-5387
1807D: Tangut表意文字L2008-5616
1807E: Tangut表意文字L2008-5722
1807F: Tangut表意文字L2008-5660
18080: Tangut表意文字L2008-5243
18081: Tangut表意文字L2008-5225
18082: Tangut表意文字L2008-5200
18083: Tangut表意文字L2008-5666
18084: Tangut表意文字L2008-5935
18085: Tangut表意文字L2008-5831
18086: Tangut表意文字L2008-5815
18087: Tangut表意文字L2008-5915
18088: Tangut表意文字L2008-5914
18089: Tangut表意文字L2008-5900
1808A: Tangut表意文字L2008-5857
1808B: Tangut表意文字L2008-5849
1808C: Tangut表意文字L2008-5860
1808D: Tangut表意文字L2008-5858
1808E: Tangut表意文字L2008-5881
1808F: Tangut表意文字L2008-5878
18090: Tangut表意文字L2008-5899
18091: Tangut表意文字L2008-5883
18092: Tangut表意文字L2008-5884
18093: Tangut表意文字L2008-5877
18094: Tangut表意文字L2008-5901
18095: Tangut表意文字L2008-5966
18096: Tangut表意文字L2008-5986
18097: Tangut表意文字L2008-5959
18098: Tangut表意文字L2008-5965
18099: Tangut表意文字L2008-5963
1809A: Tangut表意文字L2008-5855
1809B: Tangut表意文字L2008-5919
1809C: Tangut表意文字L2008-5882
1809D: Tangut表意文字L2008-5902
1809E: Tangut表意文字L2008-5987
1809F: Tangut表意文字L2008-5989
180A0: Tangut表意文字L2008-5885
180A1: Tangut表意文字L2008-5853
180A2: Tangut表意文字L2008-5960
180A3: Tangut表意文字L2008-5850
180A4: Tangut表意文字L2008-5993
180A5: Tangut表意文字L2008-5968
180A6: Tangut表意文字L2008-5916
180A7: Tangut表意文字L2008-6074
180A8: Tangut表意文字L2008-5961
180A9: Tangut表意文字L2008-5852
180AA: Tangut表意文字L2008-4855
180AB: Tangut表意文字L2008-5215
180AC: Tangut表意文字L2008-5670
180AD: Tangut表意文字L2008-5675
180AE: Tangut表意文字L2008-5652
180AF: Tangut表意文字L2008-5388
180B0: Tangut表意文字L2008-5747
180B1: Tangut表意文字L2008-5599
180B2: Tangut表意文字L2008-5684
180B3: Tangut表意文字L2008-5757
180B4: Tangut表意文字L2008-5677
180B5: Tangut表意文字L2008-5740
180B6: Tangut表意文字L2008-5303
180B7: Tangut表意文字L2008-5488
180B8: Tangut表意文字L2008-5344
180B9: Tangut表意文字L2008-5207
180BA: Tangut表意文字L2008-5328
180BB: Tangut表意文字L2008-5587
180BC: Tangut表意文字L2008-5600
180BD: Tangut表意文字L2008-5734
180BE: Tangut表意文字L2008-5678
180BF: Tangut表意文字L2008-5329
180C0: Tangut表意文字L2008-5480
180C1: Tangut表意文字L2008-5605
180C2: Tangut表意文字L2008-5725
180C3: Tangut表意文字L2008-5768
180C4: Tangut表意文字L2008-5669
180C5: Tangut表意文字L2008-5589
180C6: Tangut表意文字L2008-5642
180C7: Tangut表意文字L2008-5606
180C8: Tangut表意文字L2008-5228
180C9: Tangut表意文字L2008-5570
180CA: Tangut表意文字L2008-5136
180CB: Tangut表意文字L2008-5121
180CC: Tangut表意文字L2008-5711
180CD: Tangut表意文字L2008-5298
180CE: Tangut表意文字L2008-5370
180CF: Tangut表意文字L2008-5641
180D0: Tangut表意文字L2008-5799
180D1: Tangut表意文字L2008-5394
180D2: Tangut表意文字L2008-5316
180D3: Tangut表意文字L2008-5403
180D4: Tangut表意文字L2008-5756
180D5: Tangut表意文字L2008-5792
180D6: Tangut表意文字L2008-5191
180D7: Tangut表意文字L2008-5681
180D8: Tangut表意文字L2008-6059
180D9: Tangut表意文字L2008-4741
180DA: Tangut表意文字L2008-5411
180DB: Tangut表意文字L2008-5417
180DC: Tangut表意文字L2008-5523
180DD: Tangut表意文字L2008-5071
180DE: Tangut表意文字L2008-5285
180DF: Tangut表意文字L2008-5467
180E0: Tangut表意文字L2008-5149
180E1: Tangut表意文字L2008-5113
180E2: Tangut表意文字L2008-5364
180E3: Tangut表意文字L2008-5574
180E4: Tangut表意文字L2008-5067
180E5: Tangut表意文字L2008-5418
180E6: Tangut表意文字L2008-5694
180E7: Tangut表意文字L2008-5086
180E8: Tangut表意文字L2008-5072
180E9: Tangut表意文字L2008-5122
180EA: Tangut表意文字L2008-5712
180EB: Tangut表意文字L2008-5261
180EC: Tangut表意文字L2008-5352
180ED: Tangut表意文字L2008-5353
180EE: Tangut表意文字L2008-5550
180EF: Tangut表意文字L2008-0539
180F0: Tangut表意文字L2008-0258
180F1: Tangut表意文字L2008-1676
180F2: Tangut表意文字L2008-0688
180F3: Tangut表意文字L2008-1429
180F4: Tangut表意文字L2008-0389
180F5: Tangut表意文字L2008-1453
180F6: Tangut表意文字L2008-0398
180F7: Tangut表意文字L2008-0399
180F8: Tangut表意文字L2008-0496
180F9: Tangut表意文字L2008-0957
180FA: Tangut表意文字L2008-0163
180FB: Tangut表意文字L2008-0494
180FC: Tangut表意文字L2008-0505
180FD: Tangut表意文字L2008-1616
180FE: Tangut表意文字L2008-0239
180FF: Tangut表意文字L2008-0660
