18300: Tangut表意文字L2008-5508
18301: Tangut表意文字L2008-5428
18302: Tangut表意文字L2008-5806
18303: Tangut表意文字L2008-5818
18304: Tangut表意文字L2008-5922
18305: Tangut表意文字L2008-5864
18306: Tangut表意文字L2008-5924
18307: Tangut表意文字L2008-5990
18308: Tangut表意文字L2008-5821
18309: Tangut表意文字L2008-5866
1830A: Tangut表意文字L2008-5888
1830B: Tangut表意文字L2008-5926
1830C: Tangut表意文字L2008-5973
1830D: Tangut表意文字L2008-5903
1830E: Tangut表意文字L2008-5905
1830F: Tangut表意文字L2008-5917
18310: Tangut表意文字L2008-5868
18311: Tangut表意文字L2008-5827
18312: Tangut表意文字L2008-5891
18313: Tangut表意文字L2008-5927
18314: Tangut表意文字L2008-5928
18315: Tangut表意文字L2008-5822
18316: Tangut表意文字L2008-5824
18317: Tangut表意文字L2008-5823
18318: Tangut表意文字L2008-5867
18319: Tangut表意文字L2008-5829
1831A: Tangut表意文字L2008-5929
1831B: Tangut表意文字L2008-5819
1831C: Tangut表意文字L2008-5970
1831D: Tangut表意文字L2008-6072
1831E: Tangut表意文字L2008-5828
1831F: Tangut表意文字L2008-5863
18320: Tangut表意文字L2008-5908
18321: Tangut表意文字L2008-5826
18322: Tangut表意文字L2008-5810
18323: Tangut表意文字L2008-5942
18324: Tangut表意文字L2008-5941
18325: Tangut表意文字L2008-5979
18326: Tangut表意文字L2008-5943
18327: Tangut表意文字L2008-5537
18328: Tangut表意文字L2008-5257
18329: Tangut表意文字L2008-5088
1832A: Tangut表意文字L2008-5538
1832B: Tangut表意文字L2008-5124
1832C: Tangut表意文字L2008-5089
1832D: Tangut表意文字L2008-5129
1832E: Tangut表意文字L2008-5265
1832F: Tangut表意文字L2008-5296
18330: Tangut表意文字L2008-5707
18331: Tangut表意文字L2008-5539
18332: Tangut表意文字L2008-5559
18333: Tangut表意文字L2008-5141
18334: Tangut表意文字L2008-5151
18335: Tangut表意文字L2008-5125
18336: Tangut表意文字L2008-5090
18337: Tangut表意文字L2008-5366
18338: Tangut表意文字L2008-5558
18339: Tangut表意文字L2008-5575
1833A: Tangut表意文字L2008-5152
1833B: Tangut表意文字L2008-5096
1833C: Tangut表意文字L2008-5563
1833D: Tangut表意文字L2008-5354
1833E: Tangut表意文字L2008-5426
1833F: Tangut表意文字L2008-5577
18340: Tangut表意文字L2008-5560
18341: Tangut表意文字L2008-5695
18342: Tangut表意文字L2008-5504
18343: Tangut表意文字L2008-5540
18344: Tangut表意文字L2008-5502
18345: Tangut表意文字L2008-6060
18346: Tangut表意文字L2008-5562
18347: Tangut表意文字L2008-5263
18348: Tangut表意文字L2008-5463
18349: Tangut表意文字L2008-5142
1834A: Tangut表意文字L2008-5092
1834B: Tangut表意文字L2008-5561
1834C: Tangut表意文字L2008-5266
1834D: Tangut表意文字L2008-5506
1834E: Tangut表意文字L2008-5786
1834F: Tangut表意文字L2008-5063
18350: Tangut表意文字L2008-4675
18351: Tangut表意文字L2008-5267
18352: Tangut表意文字L2008-5097
18353: Tangut表意文字L2008-5154
18354: Tangut表意文字L2008-5566
18355: Tangut表意文字L2008-6058
18356: Tangut表意文字L2008-5470
18357: Tangut表意文字L2008-5720
18358: Tangut表意文字L2008-5145
18359: Tangut表意文字L2008-5699
1835A: Tangut表意文字L2008-5132
1835B: Tangut表意文字L2008-6066
1835C: Tangut表意文字L2008-6056
1835D: Tangut表意文字L2008-4743
1835E: Tangut表意文字L2008-5258
1835F: Tangut表意文字L2008-5533
18360: Tangut表意文字L2008-5571
18361: Tangut表意文字L2008-5365
18362: Tangut表意文字L2008-5784
18363: Tangut表意文字L2008-5715
18364: Tangut表意文字L2008-5123
