18700: Tangut表意文字L2008-0611
18701: Tangut表意文字L2008-0416
18702: Tangut表意文字L2008-0249
18703: Tangut表意文字L2008-0382
18704: Tangut表意文字L2008-1357
18705: Tangut表意文字L2008-0383
18706: Tangut表意文字L2008-1395
18707: Tangut表意文字L2008-1218
18708: Tangut表意文字L2008-0570
18709: Tangut表意文字L2008-1427
1870A: Tangut表意文字L2008-1802
1870B: Tangut表意文字L2008-0420
1870C: Tangut表意文字L2008-0421
1870D: Tangut表意文字L2008-0811
1870E: Tangut表意文字L2008-1494
1870F: Tangut表意文字L2008-1815
18710: Tangut表意文字L2008-1495
18711: Tangut表意文字L2008-0999
18712: Tangut表意文字L2008-0743
18713: Tangut表意文字L2008-0170
18714: Tangut表意文字L2008-0497
18715: Tangut表意文字L2008-1617
18716: Tangut表意文字L2008-0235
18717: Tangut表意文字L2008-0747
18718: Tangut表意文字L2008-1599
18719: Tangut表意文字L2008-1852
1871A: Tangut表意文字L2008-0851
1871B: Tangut表意文字L2008-1611
1871C: Tangut表意文字L2008-0699
1871D: Tangut表意文字L2008-1330
1871E: Tangut表意文字L2008-1224
1871F: Tangut表意文字L2008-0579
18720: Tangut表意文字L2008-6042
18721: Tangut表意文字L2008-2303
18722: Tangut表意文字L2008-6028
18723: Tangut表意文字L2008-6034
18724: Tangut表意文字L2008-2521
18725: Tangut表意文字L2008-6029
18726: Tangut表意文字L2008-2298-2299
18727: Tangut表意文字L2008-3726
18728: Tangut表意文字L2008-3723
18729: Tangut表意文字L2008-0253
1872A: Tangut表意文字L2008-0681
1872B: Tangut表意文字L2008-4504
1872C: Tangut表意文字L2008-4503
1872D: Tangut表意文字L2008-4423
1872E: Tangut表意文字L2008-4466
1872F: Tangut表意文字L2008-4214
18730: Tangut表意文字L2008-4431
18731: Tangut表意文字L2008-4468
18732: Tangut表意文字L2008-4425
18733: Tangut表意文字L2008-4455
18734: Tangut表意文字L2008-4449
18735: Tangut表意文字L2008-4439
18736: Tangut表意文字L2008-4456-4457
18737: Tangut表意文字L2008-4445
18738: Tangut表意文字L2008-4467
18739: Tangut表意文字L2008-4447
1873A: Tangut表意文字L2008-4454
1873B: Tangut表意文字L2008-0536
1873C: Tangut表意文字L2008-1223
1873D: Tangut表意文字L2008-0254
1873E: Tangut表意文字L2008-0264
1873F: Tangut表意文字L2008-1406
18740: Tangut表意文字L2008-1327
18741: Tangut表意文字L2008-0673
18742: Tangut表意文字L2008-0700
18743: Tangut表意文字L2008-0553
