18400: Tangut表意文字L2008-5233
18401: Tangut表意文字L2008-5216
18402: Tangut表意文字L2008-5192
18403: Tangut表意文字N1966-236-07G
18404: Tangut表意文字L2008-5226
18405: Tangut表意文字L2008-5208
18406: Tangut表意文字L2008-5404
18407: Tangut表意文字L2008-5373
18408: Tangut表意文字L2008-5758
18409: Tangut表意文字L2008-5791
1840A: Tangut表意文字L2008-5760
1840B: Tangut表意文字L2008-5724
1840C: Tangut表意文字L2008-5763
1840D: Tangut表意文字L2008-5601
1840E: Tangut表意文字L2008-5456
1840F: Tangut表意文字L2008-5449
18410: Tangut表意文字L2008-5628
18411: Tangut表意文字L2008-5445
18412: Tangut表意文字L2008-5683
18413: Tangut表意文字L2008-5443
18414: Tangut表意文字L2008-5771
18415: Tangut表意文字L2008-5184
18416: Tangut表意文字L2008-5765
18417: Tangut表意文字L2008-5486
18418: Tangut表意文字L2008-5217
18419: Tangut表意文字L2008-5334
1841A: Tangut表意文字L2008-5178
1841B: Tangut表意文字L2008-5727
1841C: Tangut表意文字L2008-6063
1841D: Tangut表意文字L2008-5339
1841E: Tangut表意文字L2008-5639
1841F: Tangut表意文字L2008-5450
18420: Tangut表意文字L2008-5377
18421: Tangut表意文字L2008-5379
18422: Tangut表意文字L2008-5608
18423: Tangut表意文字L2008-5744
18424: Tangut表意文字L2008-5737
18425: Tangut表意文字L2008-5764
18426: Tangut表意文字L2008-5729
18427: Tangut表意文字L2008-5647
18428: Tangut表意文字L2008-5584
18429: Tangut表意文字L2008-5607
1842A: Tangut表意文字L2008-5245
1842B: Tangut表意文字L2008-5769
1842C: Tangut表意文字L2008-5481
1842D: Tangut表意文字L2008-5487
1842E: Tangut表意文字L2008-6065
1842F: Tangut表意文字L2008-5341
18430: Tangut表意文字L2008-5312
18431: Tangut表意文字L2008-5335
18432: Tangut表意文字L2008-5206
18433: Tangut表意文字L2008-5302
18434: Tangut表意文字L2008-5585
18435: Tangut表意文字L2008-5648
18436: Tangut表意文字L2008-5586
18437: Tangut表意文字L2008-5682
18438: Tangut表意文字L2008-5483
