17600: タング付表意文字L2008-1203
17601: Tangutの表意文字L2008-0285
17602: タング付表意文字L2008-1200
17603: タング付表意文字L2008-0286
17604: タング付表意文字L2008-1313
17605: Tangutの表意文字L2008-1375
17606: タング付表意文字L2008-1314
17607: Tangutの表意文字L2008-6013
17608: タング付表意文字L2008-1219
17609: タング付表意文字L2008-0379
1760A: タング付表意文字L2008-0318
1760B: タング付表意文字L2008-1347
1760C: Tangutの表意文字L2008-0559
1760D: タング付表意文字L2008-0257
1760E: タング付表意文字L2008-0332
1760F: Tangutの表意文字L2008-0267
17610: Tangutの表意文字L2008-0560
17611: Tangut表意文字L2008-1765
17612: Tangutの表意文字L2008-1749
17613: Tangutの表意文字L2008-1703
17614: Tangutの表意文字L2008-1169
17615: Tangutの表意文字L2008-0292
17616: Tangutの表意文字L2008-1766
17617: タング付表意文字L2008-0319
17618: Tangutの表意文字L2008-1717
17619: Tangutの表意文字L2008-0587
1761A: Tangut表意文字L2008-1702
1761B: タング付表意文字L2008-1367
1761C: Tangutの表意文字L2008-0870
1761D: タング付表意文字L2008-1615
1761E: Tangutの表意文字L2008-0480
1761F: タング付表意文字L2008-1080
17620: タング付表意文字L2008-0158
17621: Tangutの表意文字L2008-0737
17622: タング付表意文字L2008-1004
17623: タング付表意文字L2008-1589
17624: タング付表意文字L2008-1070
17625: タング付表意文字L2008-1021
17626: タング付表意文字L2008-1058
17627: Tangutの表意文字L2008-0969
17628: Tangutの表意文字L2008-0970
17629: タング付表意文字L2008-1103
1762A: タング付表意文字L2008-1137
1762B: タング付表意文字L2008-1192
1762C: Tangut表意文字L2008-1363
1762D: タング付表意文字L2008-1299
1762E: タング付表意文字L2008-1545
1762F: Tangutの表意文字L2008-2536
17630: タング付表意文字L2008-3022
17631: タング付表意文字L2008-3086
17632: タング付表意文字L2008-4440
17633: Tangutの表意文字L2008-4460
17634: タング付表意文字L2008-4450
17635: タング付表意文字L2008-4458
17636: Tangutの表意文字L2008-0936
17637: タング付表意文字L2008-0222
17638: Tangutの表意文字L2008-0202
17639: Tangutの表意文字L2008-0162
1763A: Tangutの表意文字L2008-0201
1763B: Tangut表意文字L2008-1124
1763C: Tangutの表意文字L2008-0775
1763D: タング付表意文字L2008-1631
1763E: タング付表意文字L2008-1128
1763F: タング付表意文字L2008-1140
17640: Tangutの表意文字L2008-0773
17641: タング付表意文字L2008-1849
17642: タング付表意文字L2008-1027
17643: Tangutの表意文字L2008-1661
17644: Tangutの表意文字L2008-0751
17645: タング付表意文字L2008-1594
17646: タング付表意文字L2008-1081
17647: タング付表意文字L2008-1008
17648: タング付表意文字L2008-0182
17649: Tangut表意文字L2008-1129
1764A: タング付表意文字L2008-0205
1764B: タング付表意文字L2008-1028
1764C: Tangutの表意文字L2008-0223
1764D: Tangutの表意文字L2008-1642
1764E: タング付表意文字L2008-1632
1764F: タング付表意文字L2008-1586
17650: タング付表意文字L2008-1007
17651: タング付表意文字L2008-1010
17652: Tangutの表意文字L2008-0498
17653: タング付表意文字L2008-0209
17654: Tangutの表意文字L2008-1643
17655: タング付表意文字L2008-0165
17656: Tangutの表意文字L2008-0659
17657: Tangutの表意文字L2008-0164
17658: タング付表意文字L2008-0178
17659: タング付表意文字L2008-1006
1765A: タング付表意文字L2008-0962
1765B: タング付表意文字L2008-1005
1765C: Tangutの表意文字L2008-0777
1765D: タング付表意文字L2008-1845
1765E: Tangutの表意文字L2008-0203
1765F: Tangutの表意文字L2008-1009
17660: Tangutの表意文字L2008-0855
17661: タング付表意文字L2008-1029
17662: Tangutの表意文字L2008-0653
17663: Tangutの表意文字L2008-1644
17664: Tangut表意文字L2008-1123
17665: Tangutの表意文字L2008-0161
17666: タング付表意文字L2008-1613
17667: タング付表意文字L2008-0937
17668: タング付表意文字L2008-1650
17669: Tangutの表意文字L2008-0846
1766A: タング付表意文字L2008-1102
1766B: Tangutの表意文字L2008-0774
1766C: タング付表意文字L2008-0075
1766D: Tangutの表意文字L2008-0224
1766E: タング付表意文字L2008-1083
1766F: タング付表意文字L2008-0845
17670: タング付表意文字L2008-0492
17671: タング付表意文字L2008-1590
17672: タング付表意文字L2008-1634
17673: Tangutの表意文字L2008-0754
17674: タング付表意文字L2008-0177
17675: Tangutの表意文字L2008-0279
17676: Tangutの表意文字L2008-0364
17677: Tangutの表意文字L2008-0567
17678: Tangutの表意文字L2008-0329
17679: タング付表意文字L2008-1369
1767A: Tangutの表意文字L2008-0709
1767B: タング付表意文字L2008-1675
1767C: タング付表意文字L2008-1778
1767D: Tangutの表意文字L2008-0799
1767E: Tangutの表意文字L2008-0283
1767F: Tangut表意文字L2008-1756
17680: タング付表意文字L2008-1351
17681: タング付表意文字L2008-0368
17682: タング付表意文字L2008-1683
17683: タング付表意文字L2008-4143
17684: タング付表意文字L2008-4144
17685: Tangutの表意文字L2008-4383
17686: Tangutの表意文字L2008-4206
17687: タング付表意文字L2008-4146
17688: タング付表意文字L2008-4276
17689: タング付表意文字L2008-4172
1768A: Tangutの表意文字L2008-4278
1768B: Tangutの表意文字L2008-4207
1768C: Tangutの表意文字L2008-4095
1768D: タング付表意文字L2008-4411
1768E: タング付表意文字L2008-4149
1768F: Tangut表意文字L2008-4096
17690: タング付表意文字L2008-4315
17691: タング付表意文字L2008-4099
17692: タング付表意文字L2008-4163
17693: Tangut表意文字L2008-4175
17694: Tangut表意文字L2008-4173
17695: タング付表意文字L2008-4281
17696: タング付表意文字L2008-4247
17697: タング付表意文字L2008-4277
17698: タング付表意文字L2008-4275
17699: タング付表意文字L2008-4145
1769A: Tangutの表意文字L2008-4209
1769B: タング付表意文字L2008-4174
1769C: タング付表意文字L2008-4413
1769D: タング付表意文字L2008-4350
1769E: Tangutの表意文字L2008-4421
1769F: タング付表意文字L2008-4192
176A0: Tangutの表意文字L2008-4098
176A1: タング付表意文字L2008-4148
176A2: タング付表意文字L2008-4125
176A3: Tangut表意文字L2008-4297
176A4: タング付表意文字L2008-4162
176A5: タング付表意文字L2008-4157
176A6: タング付表意文字L2008-4176
176A7: Tangutの表意文字L2008-4205
176A8: タング付表意文字L2008-4215
176A9: タング付表意文字L2008-4343
176AA: Tangutの表意文字L2008-4302
176AB: タング付表意文字L2008-4165
176AC: Tangutの表意文字L2008-4164
176AD: タング付表意文字L2008-4142
176AE: タング付表意文字L2008-4409
176AF: タング付表意文字L2008-4384
176B0: タング付表意文字L2008-4224
176B1: Tangutの表意文字L2008-4229
176B2: タング付表意文字L2008-4426
176B3: タング付表意文字L2008-4219
176B4: タング付表意文字L2008-4208
176B5: タング付表意文字L2008-4252
176B6: Tangutの表意文字L2008-4296
176B7: Tangut表意文字L2008-4361
176B8: タング付表意文字L2008-4412
176B9: タング付表意文字L2008-4180
176BA: タング付表意文字L2008-4155
176BB: タング付表意文字L2008-4100
176BC: タング付表意文字L2008-4310
176BD: Tangut表意文字L2008-4171
176BE: Tangutの表意文字L2008-4199
176BF: タング付表意文字L2008-4153
176C0: タング付表意文字L2008-4160
176C1: Tangutの表意文字L2008-4334
176C2: Tangut表意文字L2008-4333
176C3: タング付表意文字L2008-4106
176C4: タング付表意文字L2008-4122
176C5: Tangut表意文字L2008-4177
176C6: タング付表意文字L2008-4109
176C7: タング付表意文字L2008-4159
176C8: タング付表意文字L2008-4216
176C9: タング付表意文字L2008-4213
176CA: タング付表意文字L2008-4318
176CB: タング付表意文字L2008-4212
176CC: タング付表意文字L2008-4280
176CD: タング付表意文字L2008-4376
176CE: タング付表意文字L2008-4357
176CF: Tangutの表意文字L2008-4307
176D0: タング付表意文字L2008-4156
176D1: タング付表意文字L2008-4152
176D2: タング付表意文字L2008-4400
176D3: タング付表意文字L2008-4414
176D4: タング付表意文字L2008-4351
176D5: Tangutの表意文字L2008-4211
176D6: タング付表意文字L2008-4406
176D7: タング付表意文字L2008-4138
176D8: タング付表意文字L2008-4181
176D9: タング付表意文字L2008-4167
176DA: タング付表意文字L2008-4179
176DB: Tangutの表意文字L2008-4204
176DC: タング付表意文字L2008-4103
176DD: タング付表意文字L2008-4246
176DE: タング付表意文字L2008-4245
176DF: タング付表意文字L2008-4234
176E0: タング付表意文字L2008-4235
176E1: タング付表意文字L2008-4188
176E2: タング付表意文字L2008-4332
176E3: Tangutの表意文字L2008-4341
176E4: タング付表意文字L2008-4110
176E5: タング付表意文字L2008-4170
176E6: Tangut表意文字L2008-4416
176E7: Tangutの表意文字L2008-4161
176E8: タング付表意文字L2008-4123
176E9: タング付表意文字L2008-4136
176EA: タング付表意文字L2008-4124
176EB: タング付表意文字L2008-4404
176EC: タング付表意文字L2008-4373
176ED: タング付表意文字L2008-4345
176EE: タング付表意文字L2008-4279
176EF: タング付表意文字L2008-4217
176F0: タング付表意文字L2008-4344
176F1: タング付表意文字L2008-4424
176F2: タング付表意文字L2008-4319
176F3: タングタング表意文字N1966-017-09K
176F4: Tangutの表意文字L2008-4301
176F5: タング付表意文字L2008-4312
176F6: タング付表意文字L2008-4218
176F7: タング付表意文字L2008-4374
176F8: タング付表意文字L2008-4311
176F9: タング付表意文字L2008-4169
176FA: Tangutの表意文字L2008-4291
176FB: タング付表意文字L2008-4316
176FC: タング付表意文字L2008-4405
176FD: タングタング表意文字N1966-017-10D
176FE: タング付表意文字L2008-4256
176FF: タング付表意文字L2008-4282
