17900: タング付表意文字L2008-3139
17901: Tangut表意文字L2008-3200
17902: Tangut表意文字L2008-3201
17903: Tangutの表意文字L2008-2189
17904: Tangut表意文字L2008-2082
17905: Tangutの表意文字L2008-2201
17906: タング付表意文字L2008-2214
17907: Tangutの表意文字L2008-2775
17908: Tangutの表意文字L2008-2295
17909: Tangutの表意文字L2008-2075
1790A: Tangutの表意文字L2008-2629
1790B: Tangutの表意文字L2008-2194
1790C: Tangutの表意文字L2008-2196
1790D: Tangutの表意文字L2008-2473
1790E: Tangutの表意文字L2008-2661
1790F: Tangutの表意文字L2008-2609
17910: タング付表意文字L2008-2650
17911: Tangutの表意文字L2008-3210
17912: タング付表意文字L2008-3305
17913: Tangutの表意文字L2008-3228
17914: タング付表意文字L2008-3306
17915: Tangutの表意文字L2008-2469
17916: Tangutの表意文字L2008-2216
17917: タングタング表意文字L1997-5998
17918: タング付表意文字L2008-3182
17919: Tangutの表意文字L2008-2645
1791A: Tangutの表意文字L2008-3241
1791B: Tangutの表意文字L2008-2649
1791C: Tangutの表意文字L2008-2688
1791D: Tangutの表意文字L2008-2749
1791E: Tangutの表意文字L2008-2643
1791F: Tangutの表意文字L2008-3641
17920: Tangutの表意文字L2008-3691
17921: タング付表意文字L2008-3590
17922: Tangutの表意文字L2008-3791
17923: タング付表意文字L2008-3569
17924: タング付表意文字L2008-3565
17925: タング付表意文字L2008-3787
17926: Tangutの表意文字L2008-3676
17927: タング付表意文字L2008-3805
17928: タング付表意文字L2008-3570
17929: タング付表意文字L2008-3628
1792A: Tangutの表意文字L2008-2777
1792B: Tangut表意文字L2008-3622
1792C: タング付表意文字L2008-3591
1792D: タング付表意文字L2008-3128
1792E: Tangutの表意文字L2008-3360
1792F: タング付表意文字L2008-3173
17930: Tangutの表意文字L2008-2739
17931: Tangutの表意文字L2008-3248
17932: Tangutの表意文字L2008-3250
17933: Tangutの表意文字L2008-2888
17934: タング付表意文字L2008-3207
17935: Tangutの表意文字L2008-2176
17936: タング付表意文字L2008-2518
17937: タング付表意文字L2008-3614
17938: Tangutの表意文字L2008-2197
17939: Tangut表意文字L2008-3121
1793A: Tangutの表意文字L2008-2466
1793B: Tangutの表意文字L2008-2467
1793C: Tangutの表意文字L2008-2491
1793D: Tangutの表意文字L2008-2617
1793E: Tangutの表意文字L2008-2447
1793F: Tangutの表意文字L2008-2127
17940: Tangutの表意文字L2008-2225
17941: Tangutの表意文字L2008-2118
17942: Tangut表意文字L2008-3215
17943: Tangutの表意文字L2008-2205
17944: タング付表意文字L2008-2630
17945: タング付表意文字L2008-2610
17946: Tangut表意文字L2008-3631
17947: Tangutの表意文字L2008-3212
17948: Tangutの表意文字L2008-3258
17949: Tangutの表意文字L2008-2747
1794A: Tangutの表意文字L2008-2203
1794B: Tangutの表意文字L2008-2128
1794C: Tangutの表意文字L2008-2231
1794D: Tangutの表意文字L2008-2296
1794E: Tangutの表意文字L2008-2212
1794F: タング付表意文字L2008-2250
17950: Tangut表意文字L2008-2611
17951: タング付表意文字L2008-3118
17952: Tangutの表意文字L2008-2195
17953: Tangutの表意文字L2008-2857
17954: Tangutの表意文字L2008-2753
17955: タング付表意文字L2008-3782
17956: Tangutの表意文字L2008-3679
17957: Tangutの表意文字L2008-3234
17958: Tangutの表意文字L2008-3222
17959: Tangutの表意文字L2008-3214
1795A: Tangutの表意文字L2008-3281
1795B: Tangutの表意文字L2008-2778
1795C: Tangutの表意文字L2008-2606
1795D: Tangutの表意文字L2008-2637
1795E: Tangutの表意文字L2008-2776
1795F: Tangutの表意文字L2008-2604
17960: Tangutの表意文字L2008-2638
17961: Tangutの表意文字L2008-3566
17962: タング付表意文字L2008-3636
