17800: タング付表意文字L2008-0506
17801: タング付表意文字L2008-0206
17802: タング付表意文字L2008-1614
17803: Tangutの表意文字L2008-4603
17804: Tangutの表意文字L2008-4586
17805: タング付表意文字L2008-4596
17806: タング付表意文字L2008-4530
17807: タング付表意文字L2008-4508
17808: Tangutの表意文字L2008-4547
17809: Tangutの表意文字L2008-4543
1780A: Tangutの表意文字L2008-4642
1780B: Tangutの表意文字L2008-4621
1780C: タング付表意文字L2008-4585
1780D: タング付表意文字L2008-4580
1780E: Tangutの表意文字L2008-4509
1780F: Tangutの表意文字L2008-4608
17810: タング付表意文字L2008-4551
17811: タング付表意文字L2008-4552
17812: タング付表意文字L2008-4511
17813: Tangutの表意文字L2008-4563
17814: Tangutの表意文字L2008-4568
17815: Tangutの表意文字L2008-4649
17816: Tangutの表意文字L2008-4643
17817: タング付表意文字L2008-4635
17818: Tangutの表意文字L2008-4668
17819: タング付表意文字L2008-4650
1781A: Tangutの表意文字L2008-4604
1781B: Tangutの表意文字L2008-4617
1781C: タング付表意文字L2008-4519
1781D: Tangutの表意文字L2008-4541
1781E: Tangutの表意文字L2008-4572
1781F: Tangutの表意文字L2008-4571
17820: Tangutの表意文字L2008-4644
17821: Tangutの表意文字L2008-4669
17822: Tangutの表意文字L2008-4636
17823: Tangutの表意文字L2008-4667
17824: タング付表意文字L2008-4581
17825: Tangutの表意文字L2008-4651
17826: タング付表意文字L2008-4582
17827: タング付表意文字L2008-4589
17828: タング付表意文字L2008-4545
17829: タング付表意文字L2008-4542
1782A: タング付表意文字L2008-4520
1782B: タング付表意文字L2008-4534
1782C: タング付表意文字L2008-4514
1782D: タング付表意文字L2008-4533
1782E: Tangutの表意文字L2008-4611
1782F: タング付表意文字L2008-4653
17830: Tangutの表意文字L2008-4658
17831: タング付表意文字L2008-4657
17832: Tangutの表意文字L2008-4583
17833: Tangutの表意文字L2008-4606
17834: タング付表意文字L2008-4623
17835: タング付表意文字L2008-4532
17836: タング付表意文字L2008-4638
17837: タング付表意文字L2008-4592
17838: タング付表意文字L2008-4612
17839: タング付表意文字L2008-4584
1783A: Tangutの表意文字L2008-4605
1783B: タング付表意文字L2008-4597
1783C: タング付表意文字L2008-4616
1783D: タング付表意文字L2008-4613
1783E: タング付表意文字L2008-4615
1783F: Tangutの表意文字L2008-4564
17840: Tangutの表意文字L2008-4553
17841: タング付表意文字L2008-4619
17842: タング付表意文字L2008-4618
17843: タング付表意文字L2008-4523
17844: タング付表意文字L2008-4513
17845: タング付表意文字L2008-4517
17846: タング付表意文字L2008-4652
17847: タング付表意文字L2008-4610
17848: Tangutの表意文字L2008-4521
17849: タング付表意文字L2008-4535
1784A: タング付表意文字L2008-4540
1784B: Tangutの表意文字L2008-4593
1784C: タング付表意文字N1966-255-107
1784D: Tangutの表意文字L2008-4622
1784E: タング付表意文字L2008-4518
1784F: Tangutの表意文字L2008-4576
17850: タング付表意文字L2008-4512
17851: Tangutの表意文字L2008-4577
17852: タング付表意文字L2008-4598
17853: Tangutの表意文字L2008-4656
17854: タング付表意文字L2008-4600
17855: タング付表意文字L2008-4614
17856: タング付表意文字L2008-4599
17857: タング付表意文字L2008-4546
17858: タング付表意文字L2008-4639
17859: タング付表意文字L2008-4531
1785A: タング付表意文字L2008-4569
1785B: Tangutの表意文字L2008-4647
1785C: タング付表意文字L2008-4637
1785D: タング付表意文字L2008-4620
1785E: Tangutの表意文字L2008-0359
1785F: Tangutの表意文字L2008-0534
17860: Tangutの表意文字L2008-0271
17861: タング付表意文字L2008-0320
17862: タング付表意文字L2008-0702
17863: Tangutの表意文字L2008-0293
17864: タング付表意文字L2008-1780
17865: Tangutの表意文字L2008-1877
17866: タング付表意文字L2008-0592
17867: Tangutの表意文字L2008-0703
17868: Tangutの表意文字L2008-0561
17869: タング付表意文字L2008-1353
1786A: タング付表意文字L2008-1290
1786B: Tangutの表意文字L2008-0778
1786C: タング付表意文字L2008-0340
1786D: タング付表意文字L2008-0347
1786E: Tangutの表意文字L2008-0541
1786F: タング付表意文字L2008-0302
17870: Tangutの表意文字L2008-0357
17871: タング付表意文字L2008-1871
17872: タング付表意文字L1997-5996
17873: Tangutの表意文字L2008-0272
17874: タング付表意文字L2008-0807
17875: タング付表意文字L2008-1316
17876: Tangutの表意文字L2008-0535
17877: タング付表意文字L2008-1214
17878: タング付表意文字L2008-0243
17879: タング付表意文字L2008-1392
1787A: Tangutの表意文字L2008-2928
1787B: Tangutの表意文字L2008-3499
1787C: Tangutの表意文字L2008-2705
1787D: タング付表意文字L2008-3495
1787E: Tangutの表意文字L2008-2963
1787F: タング付表意文字L2008-4021
17880: タング付表意文字L2008-4045
17881: タング付表意文字L2008-3453
17882: Tangutの表意文字L2008-2824
17883: Tangutの表意文字L2008-2961
17884: Tangutの表意文字L2008-4609
17885: タング付表意文字L2008-4525
17886: Tangutの表意文字L2008-2840-4591
17887: タング付表意文字L2008-4594
17888: タング付表意文字L2008-4037
17889: Tangutの表意文字L2008-4084
1788A: Tangutの表意文字L2008-4044
