17500: Tangutの表意文字L2008-5049
17501: Tangutの表意文字L2008-4953
17502: タング付表意文字L2008-4888
17503: Tangutの表意文字L2008-4959
17504: Tangutの表意文字L2008-4851
17505: Tangut表意文字L2008-5021
17506: Tangutの表意文字L2008-4839
17507: タング付表意文字L2008-4730
17508: タング付表意文字L2008-4936
17509: Tangutの表意文字L2008-4981
1750A: Tangutの表意文字L2008-5029
1750B: Tangutの表意文字L2008-4979
1750C: Tangutの表意文字L2008-4956
1750D: タング付表意文字L2008-4986
1750E: Tangutの表意文字L2008-5061
1750F: Tangutの表意文字L2008-4786
17510: タング付表意文字L2008-4785
17511: タング付表意文字L2008-4800
17512: タング付表意文字L2008-4945
17513: Tangutの表意文字L2008-4961
17514: Tangutの表意文字L2008-4726
17515: Tangutの表意文字L2008-4783
17516: タング付表意文字L2008-4711
17517: タング付表意文字L2008-4830
17518: タング付表意文字L2008-4894
17519: Tangutの表意文字L2008-4952
1751A: タング付表意文字L2008-4833
1751B: Tangutの表意文字L2008-4906
1751C: Tangut表意文字L2008-4821
1751D: タング付表意文字L2008-5020
1751E: タング付表意文字L2008-4918
1751F: Tangut表意文字L2008-4701
17520: タング付表意文字L2008-4732
17521: タング付表意文字L2008-4915
17522: Tangutの表意文字L2008-4907
17523: タング付表意文字L2008-4698
17524: タング付表意文字L2008-4899
17525: Tangutの表意文字L2008-4697
17526: Tangutの表意文字L2008-4904
17527: タング付表意文字L2008-4840
17528: タング付表意文字L2008-4896
17529: タング付表意文字L2008-4900
1752A: タング付表意文字L2008-4892
1752B: タング付表意文字L2008-4700
1752C: タング付表意文字L2008-4962
1752D: タング付表意文字L2008-4703
1752E: タング付表意文字L2008-4958
1752F: Tangutの表意文字L2008-4829
17530: タング付表意文字L2008-4834
17531: Tangutの表意文字L2008-5022
17532: タング付表意文字L2008-4984
17533: タング付表意文字L2008-4702
17534: タング付表意文字L2008-4712
17535: Tangutの表意文字L2008-4963
17536: Tangutの表意文字L2008-4998
17537: Tangutの表意文字L2008-4994
17538: タング付表意文字L2008-4699
17539: タング付表意文字L2008-4835
1753A: Tangutの表意文字L2008-4991
1753B: Tangutの表意文字L2008-4883
1753C: タング付表意文字L2008-4916
1753D: タング付表意文字L2008-5153
1753E: タング付表意文字L2008-4852
1753F: Tangutの表意文字L2008-5412
17540: Tangutの表意文字L2008-5294
17541: Tangutの表意文字L2008-5068
17542: Tangutの表意文字L2008-5501
17543: Tangutの表意文字L2008-5813
17544: Tangutの表意文字L2008-5811
17545: タング付表意文字L2008-5812
17546: Tangutの表意文字L2008-5809
17547: Tangut表意文字L2008-5808
17548: Tangutの表意文字L2008-5804
17549: Tangutの表意文字L2008-5816
1754A: タングタング表意文字S1968-2868
1754B: タング付表意文字L2008-1425
1754C: タング付表意文字L2008-1148
1754D: タング付表意文字L2008-0912
1754E: Tangut表意文字L2008-1444
1754F: タング付表意文字L2008-1359
17550: タング付表意文字L2008-1252
17551: Tangutの表意文字L2008-0966
17552: タング付表意文字L2008-1089
17553: タング付表意文字L2008-1244
17554: Tangutの表意文字L2008-0959
17555: Tangutの表意文字L2008-0974
17556: タング付表意文字L2008-1150
17557: タング付表意文字L2008-1182
17558: タング付表意文字L2008-1247
17559: タング付表意文字L2008-1246
1755A: タング付表意文字L2008-1216
1755B: タング付表意文字L2008-1413
1755C: タング付表意文字L2008-1360
1755D: タング付表意文字L2008-1194
1755E: Tangutの表意文字L2008-1198
1755F: タング付表意文字L2008-1436
17560: Tangutの表意文字L2008-0967
17561: Tangut表意文字L2008-1337
17562: タング付表意文字L2008-1062
17563: タング付表意文字L2008-0945
17564: タング付表意文字L2008-1268
17565: Tangutの表意文字L2008-1339
17566: タング付表意文字L2008-1400
17567: タング付表意文字L2008-0920
17568: タング付表意文字L2008-1373
17569: Tangutの表意文字L2008-1127
1756A: Tangutの表意文字L2008-0960
1756B: タング付表意文字L2008-1190
1756C: タング付表意文字L2008-1418
1756D: Tangutの表意文字L2008-0946
1756E: タング付表意文字L2008-1361
1756F: Tangutの表意文字L2008-0903
17570: Tangutの表意文字L2008-0921
17571: タング付表意文字L2008-1378
17572: タング付表意文字L2008-1090
17573: Tangutの表意文字L2008-1191
17574: タング付表意文字L2008-1362
17575: タング付表意文字L2008-1291
17576: Tangutの表意文字L2008-1504
17577: タング付表意文字L2008-1492
