17700: Tangutの表意文字L2008-4324
17701: タング付表意文字L2008-4178
17702: タング付表意文字L2008-4102
17703: Tangutの表意文字L2008-4372
17704: タング付表意文字L2008-4210
17705: Tangutの表意文字L2008-4227
17706: タング付表意文字L2008-4154
17707: タング付表意文字L2008-4242
17708: Tangut表意文字L2008-4401
17709: Tangutの表意文字L2008-4304
1770A: タング付表意文字L2008-4428
1770B: タング付表意文字L2008-4187
1770C: タング付表意文字L2008-4386
1770D: Tangutの表意文字L2008-4225
1770E: Tangut表意文字L2008-4393
1770F: タング付表意文字L2008-4415
17710: タング付表意文字L2008-4408
17711: タング付表意文字L2008-4166
17712: Tangutの表意文字L2008-4201
17713: タング付表意文字L2008-4184
17714: タング付表意文字L2008-4395
17715: タング付表意文字L2008-4244
17716: タング付表意文字L2008-4230
17717: Tangutの表意文字L2008-4203
17718: タング付表意文字L2008-4262
17719: Tangutの表意文字L2008-4365
1771A: タング付表意文字L2008-4126
1771B: タング付表意文字L2008-4285
1771C: Tangutの表意文字L2008-4349
1771D: タング付表意文字L2008-4220
1771E: Tangut表意文字L2008-4191
1771F: タング付表意文字L2008-4107
17720: タング付表意文字L2008-4150
17721: タング付表意文字L2008-4134
17722: タング付表意文字L2008-4429
17723: Tangutの表意文字L2008-4292
17724: タング付表意文字L2008-4346
17725: Tangutの表意文字L2008-4303
17726: Tangutの表意文字L2008-4226
17727: タング付表意文字L2008-4295
17728: タング付表意文字L2008-4380
17729: タング付表意文字L2008-4320
1772A: タング付表意文字L2008-4348
1772B: Tangutの表意文字L2008-4293
1772C: タング付表意文字L2008-4248
1772D: Tangut表意文字L2008-4371
1772E: タング付表意文字L2008-4370
1772F: タング付表意文字L2008-4190
17730: タング付表意文字L2008-4305
17731: Tangutの表意文字L2008-4151
17732: タング付表意文字L2008-4308
17733: タング付表意文字L2008-4419
17734: Tangutの表意文字L2008-4417
17735: タング付表意文字L2008-4392
17736: タング付表意文字L2008-4375
17737: タング付表意文字L2008-4325
17738: タング付表意文字L2008-4326
17739: タング付表意文字L2008-4101
1773A: Tangut表意文字L2008-4221
1773B: タング付表意文字L2008-4368
1773C: Tangutの表意文字L2008-4354
1773D: Tangutの表意文字L2008-4283
1773E: タング付表意文字L2008-4330
1773F: タング付表意文字L2008-4254
17740: タング付表意文字L2008-4313
17741: タング付表意文字L2008-4182
17742: Tangutの表意文字L2008-4396
17743: タング付表意文字L2008-4147
17744: タング付表意文字L2008-4112
17745: Tangut表意文字L2006-6051
17746: タング付表意文字L2008-4407
17747: タング付表意文字L2008-4403
17748: Tangutの表意文字L2008-4356
17749: タング付表意文字L2008-4111
1774A: タング付表意文字L2008-4427
1774B: タング付表意文字L2008-4410
1774C: タング付表意文字L2008-4185
1774D: タング付表意文字L2008-4202
1774E: タング付表意文字L2008-4189
1774F: Tangut表意文字L2008-4237
17750: タング付表意文字L2008-4236
17751: Tangutの表意文字L2008-4390
17752: タング付表意文字L2008-4113
17753: タング付表意文字L2008-4114
17754: タング付表意文字L2008-4158
17755: Tangutの表意文字L2008-4194
17756: タング付表意文字L2008-4186
17757: タング付表意文字L2008-4108
17758: Tangut表意文字L2008-4131
17759: Tangutの表意文字L2008-4257
1775A: タング付表意文字L2008-4379
1775B: タング付表意文字L2008-4366
1775C: タング付表意文字L2008-4133
1775D: タング付表意文字L2008-4362
1775E: タング付表意文字L2008-4238
1775F: タング付表意文字L2008-4382
17760: タング付表意文字L2008-4250
17761: Tangutの表意文字L2008-4321
17762: タング付表意文字L2008-4299
17763: Tangut表意文字L2008-4309
17764: タング付表意文字L2008-4286
17765: タング付表意文字L2008-4117
17766: タング付表意文字L2008-4249
17767: タング付表意文字L2008-4132
17768: タング付表意文字L2008-4193
17769: タング付表意文字L2008-4200
1776A: タング付表意文字L2008-4418
1776B: Tangutの表意文字L2008-4306
1776C: Tangutの表意文字L2008-4266
1776D: Tangut表意文字L2008-4369
1776E: タング付表意文字L2008-4287
1776F: タング付表意文字L2008-4328
17770: タング付表意文字L2008-4378
17771: タング付表意文字L2008-4352
17772: タング付表意文字L2008-4338
17773: タング付表意文字L2008-4116
17774: Tangutの表意文字L2008-6049
17775: タング付表意文字L2008-4367
17776: タング付表意文字L2008-4397
17777: Tangutの表意文字L2008-4331
17778: タング付表意文字L2008-4402
17779: タング付表意文字L2008-4139
1777A: Tangutの表意文字L2008-4121
1777B: タング付表意文字L2008-4104
1777C: Tangut表意文字L2008-4097
1777D: タング付表意文字L2008-4284
1777E: Tangut表意文字L2008-4398
1777F: タング付表意文字L2008-4269
17780: タング付表意文字L2008-4335
17781: タング付表意文字L2008-4399
