17000: タング付表意文字L2008-0008
17001: タング付表意文字L2008-0030
17002: タング付表意文字L2008-0101
17003: タング付表意文字L2008-0038
17004: Tangut表意文字L2008-0026
17005: タング付表意文字L2008-0013
17006: タング付表意文字L2008-0065
17007: タング付表意文字L2008-0005
17008: タング付表意文字L2008-0087
17009: Tangutの表意文字L2008-0066
1700A: タング付表意文字L2008-0104
1700B: タング付表意文字L2008-0080
1700C: タング付表意文字L2008-0116
1700D: タング付表意文字L2008-0025
1700E: タング付表意文字L2008-0056
1700F: タング付表意文字L2008-0017
17010: Tangutの表意文字L2008-0143
17011: Tangut表意文字L2008-0067
17012: Tangut表意文字L2008-0068
17013: タング付表意文字L2008-0147
17014: Tangut表意文字L2008-0089
17015: タング付表意文字L2008-0035
17016: Tangut表意文字L2008-0069
17017: Tangutの表意文字L2008-0145
17018: Tangut表意文字L2008-0070
17019: タング付表意文字L2008-0082
1701A: タング付表意文字L2008-4507
1701B: Tangutの表意文字L2008-0042-4537
1701C: タング付表意文字L2008-0043
1701D: タング付表意文字L2008-0090
1701E: タング付表意文字L2008-0148
1701F: タング付表意文字L2008-0050
17020: Tangutの表意文字L2008-0084
17021: Tangutの表意文字L2008-0095
17022: タング付表意文字L2008-4516
17023: Tangutの表意文字L2008-0057-4548
17024: Tangutの表意文字L2008-0044
17025: タング付表意文字L2008-0088
17026: タング付表意文字S1968-0077
17027: Tangutの表意文字L2008-0097
17028: タング付表意文字L2008-0018
17029: Tangut表意文字L2008-0077
1702A: Tangut表意文字L2008-0085
1702B: タング付表意文字L2008-0014
1702C: Tangutの表意文字L2008-0117
1702D: タング付表意文字L2008-0048
1702E: タング付表意文字L2008-0091
1702F: Tangutの表意文字L2008-0099
17030: Tangutの表意文字L2008-1939
17031: Tangutの表意文字L2008-1961
17032: Tangut表意文字L2008-1952
17033: Tangut表意文字L2008-3483
17034: Tangutの表意文字L2008-2955
17035: タング付表意文字L2008-2380
17036: Tangutの表意文字L2008-2954
17037: Tangutの表意文字L2008-2561
17038: Tangutの表意文字L2008-3472
17039: Tangutの表意文字L2008-3766
1703A: Tangutの表意文字L2008-3484
1703B: Tangutの表意文字L2008-2979
1703C: Tangutの表意文字L2008-2907
1703D: Tangutの表意文字L2008-2948
1703E: Tangutの表意文字L2008-2991
1703F: タング付表意文字L2008-1895
17040: Tangutの表意文字L2008-2946
17041: タング付表意文字L2008-2562
17042: Tangutの表意文字L2008-3757
17043: Tangut表意文字L2008-3486
17044: Tangutの表意文字L2008-3449
17045: Tangutの表意文字L2008-3485
17046: Tangutの表意文字L2008-2381
17047: Tangutの表意文字L2008-1984
17048: タング付表意文字L2008-1919
17049: タング付表意文字L2008-3759
1704A: タング付表意文字L2008-3487
1704B: Tangutの表意文字L2008-2936
1704C: タング付表意文字L2008-2710
1704D: タング付表意文字L2008-1925
1704E: Tangutの表意文字L2008-2959
1704F: Tangutの表意文字L2008-2930
17050: タング付表意文字L2008-1940
17051: Tangutの表意文字L2008-2386
17052: Tangutの表意文字L2008-1972
17053: タング付表意文字L2008-2553
17054: Tangutの表意文字L2008-1975
17055: Tangutの表意文字L2008-1960
17056: Tangutの表意文字L2008-2956
17057: Tangutの表意文字L2008-2919
17058: Tangutの表意文字L2008-2971
17059: Tangut表意文字L2008-2941A
1705A: Tangutの表意文字L2008-2941B
1705B: Tangutの表意文字L2008-3466
1705C: Tangutの表意文字L2008-2713
1705D: タング付表意文字L2008-1920
1705E: Tangutの表意文字L2008-2973
1705F: Tangutの表意文字L2008-2564
17060: タング付表意文字L2008-2389
17061: Tangutの表意文字L2008-2923
17062: Tangutの表意文字L2008-2942
17063: Tangutの表意文字L2008-2394
17064: Tangutの表意文字L2008-2990
17065: Tangutの表意文字L2008-2985
17066: タング付表意文字L2008-3506
17067: タング付表意文字L2008-1929
17068: Tangutの表意文字L2008-1973
17069: Tangutの表意文字L2008-2988
1706A: Tangutの表意文字L2008-1982
1706B: Tangutの表意文字L2008-2382
1706C: Tangutの表意文字L2008-2559
1706D: Tangutの表意文字L2008-1955
1706E: Tangutの表意文字L2008-3465
1706F: Tangut表意文字L2008-1953
17070: タングタング表意文字N1966-039-096
17071: Tangutの表意文字L2008-2372
17072: Tangutの表意文字L2008-2563
17073: Tangutの表意文字L2008-2822
17074: タング付表意文字L2008-2980
17075: Tangutの表意文字L2008-2958
17076: Tangut表意文字L2008-1956
17077: Tangutの表意文字L2008-1922
17078: タング付表意文字L2008-1921
17079: Tangutの表意文字L2008-2977
1707A: Tangutの表意文字L2008-2908
1707B: Tangutの表意文字L2008-2704
1707C: Tangutの表意文字L2008-1976
1707D: タング付表意文字L2008-2832
1707E: タング付表意文字L2008-2940
1707F: Tangutの表意文字L2008-2957
17080: Tangutの表意文字L2008-2839
17081: Tangutの表意文字L2008-1974
17082: Tangutの表意文字L2008-2385
17083: Tangut表意文字L2008-3461
17084: Tangut表意文字L2008-1923
17085: Tangutの表意文字L2008-2384
17086: Tangutの表意文字L2008-2939
17087: Tangutの表意文字L2008-2554
17088: Tangutの表意文字L2008-2920
17089: Tangutの表意文字L2008-2970
1708A: Tangutの表意文字L2008-1927
1708B: Tangutの表意文字L2008-2944
1708C: Tangutの表意文字L2008-2947
1708D: Tangut表意文字L2008-1893
1708E: Tangutの表意文字L2008-2387
1708F: タング付表意文字L2008-3519
17090: タング付表意文字L2008-2831
17091: Tangutの表意文字L2008-3496
17092: タング付表意文字L2008-3462
17093: Tangutの表意文字L2008-2838
17094: Tangutの表意文字L2008-2572
17095: タング付表意文字L2008-3518
17096: Tangutの表意文字L2008-2383
17097: タング付表意文字L2008-1970
17098: タング付表意文字L2008-3509
17099: Tangut表意文字L2008-2365
1709A: Tangut表意文字L2008-1905
1709B: Tangutの表意文字L2008-2828
1709C: タング付表意文字L2008-1900
1709D: Tangut表意文字L2008-2711
1709E: Tangutの表意文字L2008-1966
1709F: Tangutの表意文字L2008-1954
170A0: Tangutの表意文字L2008-2567
170A1: タング付表意文字L2008-2555
170A2: Tangutの表意文字L2008-2566
170A3: タング付表意文字L2008-2712
170A4: Tangutの表意文字L2008-1971
170A5: Tangut表意文字L2008-1926
170A6: Tangutの表意文字L2008-3764
170A7: Tangutの表意文字L2008-2937
170A8: Tangutの表意文字L2008-2943
