18300: Tangut表意文字L2008-5508
18301: Tangutの表意文字L2008-5428
18302: Tangutの表意文字L2008-5806
18303: タング付表意文字L2008-5818
18304: Tangutの表意文字L2008-5922
18305: Tangutの表意文字L2008-5864
18306: Tangutの表意文字L2008-5924
18307: Tangutの表意文字L2008-5990
18308: Tangutの表意文字L2008-5821
18309: Tangutの表意文字L2008-5866
1830A: Tangutの表意文字L2008-5888
1830B: Tangutの表意文字L2008-5926
1830C: Tangutの表意文字L2008-5973
1830D: Tangutの表意文字L2008-5903
1830E: Tangutの表意文字L2008-5905
1830F: Tangutの表意文字L2008-5917
18310: タング付表意文字L2008-5868
18311: Tangutの表意文字L2008-5827
18312: Tangutの表意文字L2008-5891
18313: Tangutの表意文字L2008-5927
18314: Tangutの表意文字L2008-5928
18315: Tangutの表意文字L2008-5822
18316: タング付表意文字L2008-5824
18317: Tangutの表意文字L2008-5823
18318: Tangutの表意文字L2008-5867
18319: Tangutの表意文字L2008-5829
1831A: Tangutの表意文字L2008-5929
1831B: タング付表意文字L2008-5819
1831C: Tangutの表意文字L2008-5970
1831D: Tangutの表意文字L2008-6072
1831E: Tangut表意文字L2008-5828
1831F: Tangutの表意文字L2008-5863
18320: Tangutの表意文字L2008-5908
18321: Tangutの表意文字L2008-5826
18322: タング付表意文字L2008-5810
18323: Tangutの表意文字L2008-5942
18324: Tangutの表意文字L2008-5941
18325: Tangutの表意文字L2008-5979
18326: Tangutの表意文字L2008-5943
18327: Tangut表意文字L2008-5537
18328: Tangutの表意文字L2008-5257
18329: Tangutの表意文字L2008-5088
1832A: Tangutの表意文字L2008-5538
1832B: Tangutの表意文字L2008-5124
1832C: Tangut表意文字L2008-5089
1832D: Tangutの表意文字L2008-5129
1832E: Tangutの表意文字L2008-5265
1832F: Tangutの表意文字L2008-5296
18330: Tangutの表意文字L2008-5707
18331: Tangut表意文字L2008-5539
18332: Tangutの表意文字L2008-5559
18333: Tangut表意文字L2008-5141
18334: Tangutの表意文字L2008-5151
18335: Tangutの表意文字L2008-5125
18336: Tangutの表意文字L2008-5090
18337: Tangutの表意文字L2008-5366
18338: Tangut表意文字L2008-5558
18339: Tangutの表意文字L2008-5575
1833A: Tangutの表意文字L2008-5152
1833B: Tangutの表意文字L2008-5096
1833C: タング付表意文字L2008-5563
1833D: Tangut表意文字L2008-5354
1833E: Tangutの表意文字L2008-5426
1833F: Tangutの表意文字L2008-5577
18340: Tangutの表意文字L2008-5560
18341: Tangutの表意文字L2008-5695
18342: Tangut表意文字L2008-5504
18343: タング付表意文字L2008-5540
18344: Tangut表意文字L2008-5502
18345: タング付表意文字L2008-6060
18346: Tangutの表意文字L2008-5562
18347: Tangutの表意文字L2008-5263
18348: Tangutの表意文字L2008-5463
18349: Tangutの表意文字L2008-5142
1834A: タング付表意文字L2008-5092
1834B: Tangutの表意文字L2008-5561
1834C: Tangutの表意文字L2008-5266
1834D: Tangut表意文字L2008-5506
1834E: Tangutの表意文字L2008-5786
1834F: Tangutの表意文字L2008-5063
18350: Tangutの表意文字L2008-4675
18351: Tangutの表意文字L2008-5267
18352: Tangutの表意文字L2008-5097
18353: Tangut表意文字L2008-5154
18354: Tangutの表意文字L2008-5566
18355: Tangutの表意文字L2008-6058
18356: Tangutの表意文字L2008-5470
18357: Tangutの表意文字L2008-5720
18358: Tangut表意文字L2008-5145
18359: Tangutの表意文字L2008-5699
1835A: タング付表意文字L2008-5132
1835B: Tangutの表意文字L2008-6066
1835C: Tangutの表意文字L2008-6056
1835D: Tangutの表意文字L2008-4743
1835E: タング付表意文字L2008-5258
1835F: Tangut表意文字L2008-5533
18360: Tangutの表意文字L2008-5571
18361: Tangutの表意文字L2008-5365
18362: Tangutの表意文字L2008-5784
18363: Tangut表意文字L2008-5715
18364: Tangutの表意文字L2008-5123
18365: Tangutの表意文字L2008-5536
18366: Tangutの表意文字L2008-5498
18367: Tangut表意文字L2008-5118
18368: タング付表意文字L2008-5222
18369: Tangutの表意文字L2008-5741
1836A: Tangutの表意文字L2008-5590
1836B: Tangutの表意文字L2008-5248
1836C: Tangutの表意文字L2008-5748
1836D: タング付表意文字L2008-5234
1836E: Tangutの表意文字L2008-5749
1836F: Tangutの表意文字L2008-5441
18370: Tangutの表意文字L2008-5634
18371: Tangutの表意文字L2008-6062
18372: Tangutの表意文字L2008-5311
18373: Tangutの表意文字L2008-5531
18374: Tangutの表意文字L2008-5065
18375: Tangutの表意文字L2008-5286
18376: Tangutの表意文字L2008-5073
18377: Tangutの表意文字L2008-5074
18378: Tangutの表意文字L2008-5579
18379: Tangutの表意文字L2008-5290
1837A: Tangutの表意文字L2008-5499
1837B: Tangutの表意文字L2008-5714
1837C: Tangutの表意文字L2008-5081
1837D: Tangutの表意文字L2008-5082
1837E: Tangutの表意文字L2008-5553
1837F: Tangut表意文字L2008-5420
18380: Tangut表意文字L2008-5527
18381: Tangutの表意文字L2008-5534
18382: タング付表意文字N1966-111-081
18383: Tangutの表意文字L2008-5134
18384: Tangutの表意文字L2008-5693
18385: タング付表意文字H2004-A-5796
18386: Tangutの表意文字L2008-4889
18387: タング付表意文字L2008-4928
18388: タング付表意文字L2008-4929
18389: Tangutの表意文字L2008-5009
1838A: タング付表意文字L2008-4912
1838B: タング付表意文字L2008-4876
1838C: Tangutの表意文字L2008-5023
1838D: タング付表意文字L2008-4890
1838E: タング付表意文字L2008-4734
1838F: タング付表意文字L2008-4714
18390: Tangutの表意文字L2008-4827
18391: Tangutの表意文字L2008-4983
18392: タング付表意文字L2008-4802
18393: Tangutの表意文字L2008-5224
18394: Tangutの表意文字L2008-5385
18395: タング付表意文字L2008-5338
18396: Tangutの表意文字L2008-5337
18397: Tangutの表意文字L2008-5667
18398: Tangutの表意文字L2008-5242
18399: Tangutの表意文字L2008-5454
1839A: Tangutの表意文字L2008-5602
1839B: Tangut表意文字L2008-5340
1839C: Tangutの表意文字L2008-5204
1839D: Tangutの表意文字L2008-5767
1839E: Tangutの表意文字L2008-5731
1839F: Tangutの表意文字L2008-5766
183A0: Tangutの表意文字L2008-5603
183A1: Tangutの表意文字L2008-5668
183A2: Tangutの表意文字L2008-5299
183A3: Tangutの表意文字L2008-5611
183A4: タング付表意文字L2008-5300
183A5: Tangut表意文字L2008-5633
183A6: Tangutの表意文字L2008-5434
183A7: Tangutの表意文字L2008-5156
183A8: タング付表意文字L2008-5591
183A9: Tangutの表意文字L2008-5380
183AA: Tangutの表意文字L2008-5612
183AB: タング付表意文字L2008-5157
183AC: Tangutの表意文字L2008-5241
183AD: Tangutの表意文字L2008-5169
183AE: タング付表意文字L2008-5212
183AF: Tangutの表意文字L2008-5236
183B0: タング付表意文字L2008-5220
183B1: Tangut表意文字L2008-5237
183B2: Tangutの表意文字L2008-5621
183B3: Tangutの表意文字L2008-5435
183B4: Tangutの表意文字L2008-5313
183B5: Tangut表意文字L2008-5613
183B6: タング付表意文字L2008-5308
183B7: Tangutの表意文字L2008-5384
183B8: Tangutの表意文字L2008-5371
183B9: Tangutの表意文字L2008-5735
183BA: Tangutの表意文字L2008-5802
183BB: Tangutの表意文字L2008-5581
183BC: Tangutの表意文字L2008-5671
183BD: Tangutの表意文字L2008-5686
183BE: Tangutの表意文字L2008-5644
183BF: Tangutの表意文字L2008-5160
183C0: Tangutの表意文字L2008-5304
183C1: Tangutの表意文字L2008-5448
183C2: Tangutの表意文字L2008-5159
183C3: Tangutの表意文字L2008-5246
183C4: Tangutの表意文字L2008-5199
183C5: タングタング表意文字S1968-2650
183C6: Tangut表意文字L2008-5158
183C7: タング付表意文字L2008-5452
183C8: タング付表意文字L2008-5170
183C9: タング付表意文字L2008-5218
183CA: Tangutの表意文字L2008-5396
183CB: Tangutの表意文字L2008-5171
183CC: Tangutの表意文字L2008-5676
183CD: Tangutの表意文字L2008-5653
183CE: Tangut表意文字L2008-5333
183CF: Tangutの表意文字L2008-5317
183D0: Tangutの表意文字L2008-5307
183D1: Tangutの表意文字L2008-5393
183D2: Tangutの表意文字L2008-5390
183D3: Tangutの表意文字L2008-5383
183D4: Tangutの表意文字L2008-5372
183D5: Tangut表意文字L2008-5389
183D6: タング付表意文字L2008-5800
183D7: Tangutの表意文字L2008-5750
183D8: Tangutの表意文字L2008-5736
183D9: Tangut表意文字L2008-5582
183DA: Tangutの表意文字L2008-5645
183DB: Tangutの表意文字L2008-5472
183DC: Tangutの表意文字L2008-5638
183DD: Tangutの表意文字L2008-5672
183DE: Tangutの表意文字L2008-5685
183DF: Tangut表意文字L2008-5620
183E0: Tangutの表意文字L2008-5457
183E1: Tangutの表意文字L2008-5247
183E2: Tangutの表意文字L2008-5177
183E3: Tangut表意文字L2008-5455
