18000: Tangutの表意文字L2008-2906
18001: Tangutの表意文字L2008-2326
18002: タング付表意文字L2008-3415
18003: タング付表意文字L2008-4030
18004: Tangut表意文字L2008-4031
18005: Tangutの表意文字L2008-4067
18006: Tangutの表意文字L2008-3846
18007: Tangut表意文字L2008-3891
18008: タング付表意文字L2008-3910
18009: Tangutの表意文字L2008-3960
1800A: タング付表意文字L2008-3913
1800B: タング付表意文字L2008-3892
1800C: タング付表意文字L2008-3887
1800D: タング付表意文字L2008-3926
1800E: タング付表意文字L2008-3925
1800F: Tangutの表意文字L2008-3909
18010: タング付表意文字L2008-3849
18011: Tangut表意文字L2008-3911
18012: タング付表意文字L2008-3927
18013: Tangut表意文字L2008-3866
18014: タング付表意文字L2008-3850
18015: Tangut表意文字L2008-3851
18016: タング付表意文字L2008-3928
18017: タング付表意文字L2008-3950
18018: Tangut表意文字L2008-3904
18019: Tangut表意文字L2008-3923
1801A: Tangut表意文字L2008-3906
1801B: タング付表意文字L2008-3946
1801C: タング付表意文字L2008-3888
1801D: Tangutの表意文字L2008-3874
1801E: タング付表意文字L2008-3882
1801F: タング付表意文字L2008-3900
18020: タング付表意文字L2008-3869
18021: Tangut表意文字L2008-3901
18022: Tangutの表意文字L2008-3973
18023: Tangutの表意文字L2008-3967
18024: Tangutの表意文字L2008-3996
18025: タング付表意文字L2008-3980
18026: タング付表意文字L2008-3933
18027: タング付表意文字L2008-3877
18028: タング付表意文字L2008-3880
18029: Tangutの表意文字L2008-3884
1802A: タング付表意文字L2008-3873
1802B: タング付表意文字L2008-3935
1802C: Tangut表意文字L2008-3876
1802D: タング付表意文字L2008-3934
1802E: タング付表意文字L2008-3932
1802F: Tangutの表意文字L2008-3978
18030: Tangutの表意文字L2008-3976
18031: タングタング表意文字S1968-3063
18032: タング付表意文字L2008-4005
18033: タング付表意文字L2008-4002
18034: タング付表意文字L2008-3875
18035: タング付表意文字L2008-3920
18036: タング付表意文字L2008-3868
18037: タング付表意文字L2008-3895
18038: タング付表意文字L2008-4000
18039: タング付表意文字L2008-3897
1803A: タング付表意文字L2008-4003
1803B: タング付表意文字L2008-3899
1803C: タング付表意文字L2008-3898
1803D: Tangutの表意文字L2008-3974
1803E: タング付表意文字L2008-3902
1803F: タング付表意文字L2008-4004
18040: Tangutの表意文字L2008-3872
18041: タング付表意文字L2008-3982
18042: Tangut表意文字L2008-5314
18043: Tangutの表意文字L2008-5640
18044: Tangutの表意文字L2008-5798
18045: Tangutの表意文字L2008-5674
18046: Tangut表意文字L2008-5175
18047: Tangutの表意文字L2008-5168
18048: Tangutの表意文字L2008-5665
18049: Tangutの表意文字L2008-5723
1804A: タング付表意文字L2008-5180
1804B: Tangutの表意文字L2008-5624
1804C: Tangutの表意文字L2008-6061
1804D: タング付表意文字L2008-5310
1804E: タング付表意文字L2008-5548
1804F: Tangutの表意文字L2008-4677
18050: タング付表意文字L2008-4875
18051: Tangutの表意文字L2008-4964
18052: タング付表意文字L2008-4812
18053: Tangutの表意文字L2008-4965
18054: Tangutの表意文字L2008-4704
18055: Tangutの表意文字L2008-4911
18056: Tangutの表意文字L2008-4766
18057: Tangutの表意文字L2008-5064
18058: Tangutの表意文字L2008-5284
18059: Tangutの表意文字L2008-5782
1805A: Tangutの表意文字L2008-5116
1805B: タング付表意文字L2008-5525
1805C: Tangutの表意文字L2008-5572
1805D: タング付表意文字L2008-5555
1805E: Tangutの表意文字L2008-5416
1805F: Tangutの表意文字L2008-5419
18060: Tangutの表意文字L2008-5069
18061: Tangutの表意文字L2008-5462
18062: Tangutの表意文字L2008-5363
18063: Tangutの表意文字L2008-5497
18064: Tangutの表意文字L2008-5549
18065: タング付表意文字L2008-5556
18066: Tangutの表意文字L2008-5573
18067: Tangut表意文字L2008-5526
18068: Tangut表意文字L2008-5085
18069: Tangutの表意文字L2008-5713
1806A: Tangutの表意文字L2008-5721
1806B: タング付表意文字L2008-5140
1806C: Tangutの表意文字L2008-5535
1806D: Tangutの表意文字L2008-5079
1806E: タング付表意文字L2008-5070
1806F: Tangutの表意文字L2008-5422
18070: タング付表意文字L2008-5080
18071: タング付表意文字L2008-5155
18072: Tangutの表意文字L2008-5465
18073: Tangutの表意文字L2008-5783
18074: Tangutの表意文字L2008-5468
18075: Tangutの表意文字L2008-5289
18076: Tangutの表意文字L2008-5292
18077: Tangutの表意文字L2008-5691
18078: Tangutの表意文字L2008-5254
18079: タング付表意文字L2008-5350
1807A: Tangutの表意文字L2008-5690
1807B: Tangut表意文字L2008-5315
1807C: Tangutの表意文字L2008-5387
1807D: Tangutの表意文字L2008-5616
1807E: タング付表意文字L2008-5722
1807F: Tangutの表意文字L2008-5660
18080: Tangutの表意文字L2008-5243
18081: Tangutの表意文字L2008-5225
18082: タング付表意文字L2008-5200
18083: Tangutの表意文字L2008-5666
18084: Tangutの表意文字L2008-5935
18085: Tangutの表意文字L2008-5831
18086: タング付表意文字L2008-5815
18087: Tangutの表意文字L2008-5915
18088: Tangutの表意文字L2008-5914
18089: タング付表意文字L2008-5900
1808A: Tangutの表意文字L2008-5857
1808B: Tangutの表意文字L2008-5849
1808C: Tangutの表意文字L2008-5860
1808D: Tangut表意文字L2008-5858
1808E: Tangutの表意文字L2008-5881
1808F: Tangutの表意文字L2008-5878
18090: Tangut表意文字L2008-5899
18091: Tangutの表意文字L2008-5883
18092: Tangutの表意文字L2008-5884
18093: Tangutの表意文字L2008-5877
18094: Tangutの表意文字L2008-5901
18095: Tangutの表意文字L2008-5966
18096: Tangutの表意文字L2008-5986
18097: Tangutの表意文字L2008-5959
18098: Tangutの表意文字L2008-5965
18099: Tangutの表意文字L2008-5963
1809A: Tangutの表意文字L2008-5855
1809B: Tangutの表意文字L2008-5919
1809C: Tangut表意文字L2008-5882
1809D: Tangutの表意文字L2008-5902
1809E: Tangutの表意文字L2008-5987
1809F: Tangutの表意文字L2008-5989
180A0: Tangutの表意文字L2008-5885
180A1: タング付表意文字L2008-5853
180A2: Tangutの表意文字L2008-5960
180A3: タング付表意文字L2008-5850
180A4: Tangutの表意文字L2008-5993
180A5: Tangutの表意文字L2008-5968
180A6: Tangutの表意文字L2008-5916
180A7: Tangutの表意文字L2008-6074
180A8: Tangutの表意文字L2008-5961
180A9: Tangut表意文字L2008-5852
180AA: タング付表意文字L2008-4855
180AB: タング付表意文字L2008-5215
180AC: Tangutの表意文字L2008-5670
180AD: Tangutの表意文字L2008-5675
180AE: Tangut表意文字L2008-5652
180AF: Tangutの表意文字L2008-5388
180B0: Tangutの表意文字L2008-5747
180B1: Tangut表意文字L2008-5599
180B2: Tangutの表意文字L2008-5684
180B3: Tangutの表意文字L2008-5757
180B4: Tangutの表意文字L2008-5677
180B5: Tangutの表意文字L2008-5740
180B6: Tangut表意文字L2008-5303
180B7: Tangutの表意文字L2008-5488
180B8: Tangutの表意文字L2008-5344
180B9: Tangutの表意文字L2008-5207
180BA: タング付表意文字L2008-5328
180BB: Tangutの表意文字L2008-5587
180BC: タング付表意文字L2008-5600
180BD: Tangutの表意文字L2008-5734
180BE: Tangutの表意文字L2008-5678
180BF: Tangutの表意文字L2008-5329
180C0: タング付表意文字L2008-5480
180C1: Tangutの表意文字L2008-5605
180C2: Tangutの表意文字L2008-5725
180C3: Tangutの表意文字L2008-5768
180C4: Tangutの表意文字L2008-5669
180C5: Tangut表意文字L2008-5589
180C6: Tangutの表意文字L2008-5642
180C7: Tangutの表意文字L2008-5606
180C8: Tangutの表意文字L2008-5228
180C9: Tangutの表意文字L2008-5570
180CA: Tangutの表意文字L2008-5136
180CB: Tangutの表意文字L2008-5121
180CC: Tangutの表意文字L2008-5711
180CD: Tangutの表意文字L2008-5298
180CE: Tangut表意文字L2008-5370
180CF: Tangutの表意文字L2008-5641
180D0: Tangutの表意文字L2008-5799
180D1: Tangutの表意文字L2008-5394
180D2: Tangutの表意文字L2008-5316
180D3: Tangutの表意文字L2008-5403
180D4: Tangut表意文字L2008-5756
180D5: Tangut表意文字L2008-5792
180D6: Tangutの表意文字L2008-5191
180D7: Tangutの表意文字L2008-5681
180D8: Tangutの表意文字L2008-6059
180D9: Tangutの表意文字L2008-4741
