17300: タング付表意文字L2008-3025
17301: タング付表意文字L2008-3001
17302: Tangutの表意文字L2008-6024
17303: Tangutの表意文字L2008-2012
17304: Tangut表意文字L2008-2418
17305: Tangutの表意文字L2008-2049
17306: タング付表意文字L2008-3555
17307: タング付表意文字L2008-3549
17308: Tangutの表意文字L2008-2727
17309: タング付表意文字L2008-2399
1730A: タング付表意文字L2008-2405
1730B: タング付表意文字L2008-3060
1730C: Tangutの表意文字L2008-1997
1730D: タング付表意文字L2008-3049
1730E: タング付表意文字L2008-3050
1730F: タング付表意文字L2008-3028
17310: Tangut表意文字L2008-6039
17311: Tangut表意文字L2008-6025
17312: タング付表意文字L2008-3061
17313: Tangutの表意文字L2008-2729
17314: タング付表意文字L2008-3537
17315: タング付表意文字L2008-3007A
17316: タング付表意文字L2008-3007B
17317: タング付表意文字L2008-3053
17318: Tangutの表意文字L2008-2009
17319: タング付表意文字L2008-3065
1731A: タング付表意文字L2008-3068
1731B: タング付表意文字L2008-3059
1731C: タング付表意文字L2008-3052
1731D: Tangutの表意文字L2008-2007
1731E: Tangutの表意文字L2008-2846
1731F: Tangutの表意文字L2008-6043
17320: タング付表意文字L2008-3556
17321: Tangutの表意文字L2008-2014
17322: タング付表意文字L2008-3002
17323: タング付表意文字L2008-3524
17324: タング付表意文字L2008-3034
17325: Tangutの表意文字L2008-2998
17326: Tangutの表意文字L2008-1998
17327: Tangutの表意文字L2008-2006
17328: タング付表意文字L2008-2050
17329: タング付表意文字L2008-3557
1732A: タング付表意文字L2008-3082
1732B: Tangutの表意文字L2008-6038
1732C: タング付表意文字L2008-3066
1732D: タング付表意文字L2008-1542
1732E: タング付表意文字L2008-1543
1732F: タング付表意文字L2008-1628
17330: タング付表意文字L2008-1633
17331: Tangutの表意文字L2008-1664
17332: タング付表意文字L2008-1063
17333: タング付表意文字L2008-1096
17334: タング付表意文字L2008-1230
17335: Tangut表意文字L2008-1306
17336: Tangutの表意文字L2008-0784
17337: Tangutの表意文字L2008-1869
17338: Tangutの表意文字L2008-1732
17339: タング付表意文字L2008-0558
1733A: タング付表意文字L2008-1748
1733B: タング付表意文字L2008-1346
1733C: タング付表意文字L2008-0338
1733D: タング付表意文字L2008-0804
1733E: Tangutの表意文字L2008-1269
1733F: Tangutの表意文字L2008-0687
17340: Tangutの表意文字L2008-0789
17341: タング付表意文字L2008-0289
17342: Tangutの表意文字L2008-0377
17343: タング付表意文字L2008-0805
17344: タング付表意文字L2008-0806
17345: タング付表意文字L2008-0270
17346: タング付表意文字L2008-0358
17347: Tangutの表意文字L2008-1706
17348: タング付表意文字L2008-1201
17349: Tangutの表意文字L2008-0599
1734A: Tangutの表意文字L2008-0290
1734B: タング付表意文字L2008-0269
1734C: タング付表意文字L2008-0280
1734D: Tangutの表意文字L2008-0281
1734E: タング付表意文字L2008-0537
1734F: タング付表意文字L2008-0586
17350: タング付表意文字L2008-0326
17351: Tangutの表意文字L2008-0823
17352: Tangutの表意文字L2008-1307
17353: タング付表意文字L2008-0313
17354: タング付表意文字L2008-0325
17355: Tangutの表意文字L2008-0266
17356: Tangutの表意文字L2008-0291
17357: Tangutの表意文字L2008-1768
17358: Tangutの表意文字L2008-0538
17359: Tangut表意文字L2008-1381
1735A: タング付表意文字L2008-1193
1735B: タング付表意文字L2008-1412
1735C: タング付表意文字L2008-1272
1735D: タング付表意文字L2008-0371
1735E: Tangutの表意文字L2008-0885
1735F: Tangutの表意文字L2008-1769
17360: タング付表意文字L2008-1685
17361: タング付表意文字L2008-0309
17362: Tangutの表意文字L2008-1775
17363: Tangutの表意文字L2008-4459
17364: タング付表意文字L2008-0620
17365: タング付表意文字L2008-0015
17366: タング付表意文字L2008-0028
17367: タング付表意文字L2008-0112
17368: タング付表意文字L2008-4050
17369: Tangutの表意文字L2008-4049
1736A: Tangutの表意文字L2008-4029
1736B: Tangut表意文字L2008-4027
1736C: タング付表意文字L2008-4048
1736D: Tangutの表意文字L2008-4088
1736E: Tangutの表意文字L2008-4087
1736F: Tangut表意文字L2008-4086
17370: Tangut表意文字L2008-4039
17371: Tangutの表意文字L2008-4024
17372: Tangutの表意文字L2008-4026
17373: Tangut表意文字L2008-4028
17374: タング付表意文字L2008-4055
17375: タング付表意文字L2008-1026
17376: タング付表意文字L2008-1630
17377: Tangutの表意文字L2008-0760
17378: タング付表意文字L2008-0486
17379: タング付表意文字L2008-0219
1737A: タング付表意文字L2008-0752
1737B: Tangutの表意文字L2008-1641
1737C: タング付表意文字L2008-0753
1737D: Tangutの表意文字L2008-1651
1737E: Tangutの表意文字L2008-0745
1737F: タング付表意文字L2008-1003
17380: Tangutの表意文字L2008-0503
17381: タング付表意文字L2008-1082
17382: タング付表意文字L2008-1588
17383: Tangutの表意文字L2008-4041
17384: Tangutの表意文字L2008-4078
17385: Tangut表意文字L2008-4081
17386: Tangut表意文字L2008-4091
17387: Tangut表意文字L2008-4079
17388: タング付表意文字L2008-4053
17389: タング付表意文字L2008-4042
1738A: Tangut表意文字L2008-4082
1738B: タング付表意文字L2008-4080
1738C: Tangut表意文字L2008-4089
1738D: タング付表意文字L2008-4092
1738E: タング付表意文字L2008-4090
1738F: Tangutの表意文字L2008-4077
17390: Tangutの表意文字L2008-4043
17391: タング付表意文字L2008-4032
17392: Tangutの表意文字L2008-4052
17393: Tangutの表意文字L2008-4051
17394: Tangutの表意文字L2008-4033
17395: Tangutの表意文字L2008-6047
17396: Tangutの表意文字L2008-4046
17397: タング付表意文字L2008-4034
17398: Tangutの表意文字L2008-0785
17399: タング付表意文字L2008-0335
1739A: タング付表意文字L2008-0708
1739B: Tangutの表意文字L2008-0328
1739C: Tangutの表意文字L2008-0566
1739D: タング付表意文字L2008-1753
1739E: Tangutの表意文字L2008-1754
1739F: タング付表意文字L2008-1350
173A0: Tangut表意文字L2008-1407
173A1: Tangutの表意文字L2008-0798
173A2: タング付表意文字L2008-1755
173A3: タング付表意文字L2008-1376
173A4: Tangutの表意文字L2008-0367
173A5: Tangutの表意文字L2008-2360
173A6: タング付表意文字L2008-1937
173A7: タング付表意文字L2008-2359
173A8: Tangutの表意文字L2008-2926
173A9: タング付表意文字L2008-3516
173AA: タング付表意文字H2004-A-5829
173AB: Tangutの表意文字L2008-2698
173AC: Tangutの表意文字L2008-1938
173AD: タング付表意文字L2008-1892
173AE: タング付表意文字L2008-2820
173AF: タング付表意文字L2008-2835
173B0: タング付表意文字L2008-1891
