18700: Tangutの表意文字L2008-0611
18701: Tangutの表意文字L2008-0416
18702: タング付表意文字L2008-0249
18703: Tangutの表意文字L2008-0382
18704: タング付表意文字L2008-1357
18705: Tangutの表意文字L2008-0383
18706: タング付表意文字L2008-1395
18707: タング付表意文字L2008-1218
18708: Tangutの表意文字L2008-0570
18709: タング付表意文字L2008-1427
1870A: タング付表意文字L2008-1802
1870B: Tangutの表意文字L2008-0420
1870C: Tangutの表意文字L2008-0421
1870D: Tangutの表意文字L2008-0811
1870E: タング付表意文字L2008-1494
1870F: タング付表意文字L2008-1815
18710: タング付表意文字L2008-1495
18711: Tangutの表意文字L2008-0999
18712: タング付表意文字L2008-0743
18713: タング付表意文字L2008-0170
18714: Tangutの表意文字L2008-0497
18715: タング付表意文字L2008-1617
18716: タング付表意文字L2008-0235
18717: Tangutの表意文字L2008-0747
18718: タング付表意文字L2008-1599
18719: タング付表意文字L2008-1852
1871A: Tangutの表意文字L2008-0851
1871B: タング付表意文字L2008-1611
1871C: タング付表意文字L2008-0699
1871D: タング付表意文字L2008-1330
1871E: タング付表意文字L2008-1224
1871F: Tangutの表意文字L2008-0579
18720: Tangutの表意文字L2008-6042
18721: Tangutの表意文字L2008-2303
18722: Tangutの表意文字L2008-6028
18723: Tangutの表意文字L2008-6034
18724: Tangutの表意文字L2008-2521
18725: Tangutの表意文字L2008-6029
18726: Tangutの表意文字L2008-2298-2299
18727: Tangutの表意文字L2008-3726
18728: Tangutの表意文字L2008-3723
18729: タング付表意文字L2008-0253
1872A: Tangutの表意文字L2008-0681
1872B: タング付表意文字L2008-4504
1872C: タング付表意文字L2008-4503
1872D: Tangutの表意文字L2008-4423
1872E: Tangutの表意文字L2008-4466
1872F: タング付表意文字L2008-4214
18730: Tangutの表意文字L2008-4431
18731: Tangutの表意文字L2008-4468
18732: タング付表意文字L2008-4425
18733: タング付表意文字L2008-4455
18734: Tangutの表意文字L2008-4449
18735: タング付表意文字L2008-4439
18736: Tangut表意文字L2008-4456-4457
18737: タング付表意文字L2008-4445
18738: Tangutの表意文字L2008-4467
18739: Tangutの表意文字L2008-4447
1873A: タング付表意文字L2008-4454
1873B: Tangutの表意文字L2008-0536
1873C: タング付表意文字L2008-1223
1873D: タング付表意文字L2008-0254
1873E: Tangutの表意文字L2008-0264
1873F: Tangut表意文字L2008-1406
18740: Tangut表意文字L2008-1327
18741: Tangutの表意文字L2008-0673
18742: タング付表意文字L2008-0700
18743: タング付表意文字L2008-0553
18744: Tangutの表意文字L2008-1697
18745: タング付表意文字L2008-0680
18746: Tangut表意文字L2008-0301
18747: タング付表意文字L2008-1281
18748: Tangutの表意文字L2008-1716
18749: タング付表意文字L2008-1860
1874A: Tangutの表意文字L2008-1764
1874B: タング付表意文字L2008-1242
1874C: タング付表意文字L2008-1174
1874D: タング付表意文字L2008-1420
1874E: タング付表意文字L2008-1358
1874F: タング付表意文字L2008-0812
18750: タング付表意文字L2008-3725
18751: タング付表意文字L2008-3770
18752: タング付表意文字L2008-3522
18753: Tangutの表意文字L2008-2842
18754: Tangutの表意文字L2008-3521
18755: Tangutの表意文字L2008-3823
18756: Tangut表意文字L2008-3954
18757: タング付表意文字L2008-3939
18758: タング付表意文字L2008-3937
18759: Tangutの表意文字L2008-5164
1875A: Tangutの表意文字L2008-5817
1875B: Tangutの表意文字L2008-5886
1875C: Tangutの表意文字L2008-5904
1875D: Tangutの表意文字L2006-5998
1875E: タング付表意文字L2008-4797
1875F: Tangutの表意文字L2008-5424
18760: Tangut表意文字L2008-5355
18761: Tangutの表意文字L2008-5947
18762: Tangutの表意文字L2008-5983
18763: Tangutの表意文字L2008-4672
18764: Tangutの表意文字L2008-5410
18765: タング付表意文字L2008-5615
18766: Tangutの表意文字L2008-5604
18767: Tangutの表意文字L2008-5594
18768: Tangutの表意文字L2008-4861
18769: タングタング表意文字N1966-299-021
1876A: Tangutの表意文字L2008-5163
1876B: Tangut表意文字L2008-5219
1876C: Tangut表意文字L2008-5801
1876D: Tangutの表意文字L2008-5458
1876E: Tangut表意文字L2008-5614
1876F: Tangutの表意文字L2008-5593
18770: Tangutの表意文字L2008-5622
18771: Tangutの表意文字L2008-5324
18772: Tangut表意文字L2008-5451
18773: Tangutの表意文字L2008-5795
18774: Tangutの表意文字L2008-6064
18775: タング付表意文字L2008-1245
18776: Tangutの表意文字L2008-0582
18777: Tangutの表意文字L2008-0470
18778: タング付表意文字L2008-1835
18779: タング付表意文字L2008-0156
1877A: タング付表意文字L2008-1580
1877B: タング付表意文字L2008-1034
1877C: Tangutの表意文字L2008-0977
1877D: Tangutの表意文字L2008-0511
1877E: タング付表意文字L2008-1142
1877F: タング付表意文字L2008-1222
18780: タング付表意文字L2008-1740
18781: タング付表意文字L2008-1241
18782: タング付表意文字L2008-1118
18783: Tangutの表意文字L2008-1329
18784: Tangutの表意文字L2008-1696
18785: タング付表意文字L2008-1372
18786: タング付表意文字L2008-1475
18787: タング付表意文字L2008-1789
18788: タング付表意文字L2008-1439
18789: タング付表意文字L2008-0262
1878A: Tangutの表意文字L2008-0565
1878B: Tangut表意文字L2008-1745
1878C: Tangutの表意文字L2008-0902
1878D: Tangutの表意文字L2008-0739
1878E: Tangutの表意文字L2008-0640
1878F: Tangutの表意文字L2008-0884
18790: Tangutの表意文字L2008-0151
18791: タング付表意文字L2008-1841
