18500: タング付表意文字L2008-4631
18501: Tangutの表意文字L2008-4661
18502: Tangutの表意文字L2008-4662
18503: Tangutの表意文字L2008-4670
18504: タング付表意文字L2008-4627
18505: タング付表意文字L2008-4557
18506: タングタング表意文字N1966-256-113
18507: Tangutの表意文字L2008-4663
18508: タング付表意文字L2008-4632
18509: タング付表意文字L2008-4628
1850A: タング付表意文字L2008-1266
1850B: タング付表意文字L2008-1739
1850C: Tangutの表意文字L2008-0895
1850D: Tangutの表意文字L2008-1698
1850E: Tangutの表意文字L2008-0381
1850F: タング付表意文字L2008-0250
18510: Tangutの表意文字L2008-0260
18511: Tangutの表意文字L2008-0529
18512: Tangutの表意文字L2008-0547
18513: Tangutの表意文字L2008-0696
18514: タング付表意文字L2008-0363
18515: タング付表意文字L2008-0593
18516: タング付表意文字L2008-1678
18517: タング付表意文字L2008-1235
18518: タング付表意文字L2008-1402
18519: タング付表意文字L2008-0548
1851A: タング付表意文字L2008-1671
1851B: タング付表意文字L2008-1236
1851C: Tangutの表意文字L2008-0298
1851D: Tangutの表意文字L2008-1858
1851E: Tangutの表意文字L2008-1741
1851F: タング付表意文字L2008-0820
18520: Tangutの表意文字L2008-1774
18521: Tangutの表意文字L2008-1723
18522: タング付表意文字L2008-1639
18523: タング付表意文字L2008-0915
18524: Tangutの表意文字L2008-0577
18525: Tangut表意文字L2008-0351
18526: Tangutの表意文字L2008-0197
18527: タング付表意文字L2008-0150
18528: タング付表意文字L2008-0638
18529: Tangutの表意文字L2008-0982
1852A: タング付表意文字L2008-0522
1852B: タング付表意文字L2008-0214
1852C: タング付表意文字L2008-1050
1852D: Tangutの表意文字L2008-1604
1852E: Tangutの表意文字L2008-0981
1852F: タング付表意文字L2008-4040
18530: タング付表意文字L2008-3187
18531: タング付表意文字L2008-3802
18532: Tangutの表意文字L2008-2192
18533: Tangutの表意文字L2008-3299
18534: タング付表意文字L2008-3300
18535: Tangutの表意文字L2008-3602
18536: Tangutの表意文字L2008-2141
18537: Tangutの表意文字L2008-2243
18538: Tangutの表意文字L2008-2116
18539: Tangutの表意文字L2008-2276
1853A: Tangutの表意文字L2008-2782
1853B: Tangutの表意文字L2008-2877
1853C: Tangutの表意文字L2008-2484
1853D: タング付表意文字L2008-3125
1853E: Tangutの表意文字L2008-2421
1853F: タング付表意文字L2008-3009
18540: Tangutの表意文字L2008-3809
18541: Tangutの表意文字L2008-3993
18542: Tangutの表意文字L2008-3852
18543: タング付表意文字L2008-3858
18544: Tangut表意文字L2008-3952
18545: Tangutの表意文字L2008-4014
18546: Tangutの表意文字L2008-3992
18547: Tangut表意文字L2008-3953
18548: Tangutの表意文字L2008-3947
18549: Tangutの表意文字L2008-3966
1854A: タング付表意文字L2008-3968
1854B: タング付表意文字L2008-5148
1854C: Tangutの表意文字L2008-5127
1854D: Tangutの表意文字L2008-6067
1854E: Tangutの表意文字L2008-5554
1854F: Tangutの表意文字L2008-5117
18550: Tangutの表意文字L2008-5889
18551: タング付表意文字L2008-5820
18552: タング付表意文字L2008-5890
18553: Tangutの表意文字L2008-5931
18554: Tangutの表意文字L2008-5923
18555: Tangutの表意文字L2008-5865
18556: Tangutの表意文字L2008-5974
18557: Tangutの表意文字L2008-5930
18558: Tangutの表意文字L2008-5925
18559: Tangutの表意文字L2008-5920
1855A: Tangutの表意文字L2008-5887
1855B: Tangutの表意文字L2008-5143
1855C: Tangutの表意文字L2008-5091
1855D: Tangutの表意文字L2008-5696
1855E: Tangutの表意文字L2008-5367
1855F: Tangutの表意文字L2008-5785
18560: Tangut表意文字L2008-5697
18561: Tangutの表意文字L2008-5564
18562: Tangutの表意文字L2008-5541
18563: Tangutの表意文字L2008-5688
18564: Tangutの表意文字L2008-5346
18565: Tangutの表意文字L2008-5773
18566: タングタング表意文字N1966-147-062
18567: Tangut表意文字L2008-5250
18568: タング付表意文字L2008-5348
18569: Tangutの表意文字L2008-5777
1856A: Tangut表意文字L2008-5253
1856B: Tangutの表意文字L2008-5543
1856C: Tangutの表意文字L2008-5282
1856D: Tangutの表意文字L2008-5567
1856E: タング付表意文字L2008-5280
1856F: Tangutの表意文字L2008-5281
18570: タング付表意文字L2008-5814
18571: Tangutの表意文字L2008-5843
18572: Tangutの表意文字L2008-5876
18573: Tangutの表意文字L2008-5873
18574: Tangutの表意文字L2008-5894
18575: Tangutの表意文字L2008-5897
18576: タング付表意文字L2008-5898
18577: Tangutの表意文字L2008-5954
18578: Tangutの表意文字L2008-5423
18579: Tangutの表意文字L2008-5093
1857A: Tangutの表意文字L2008-5503
1857B: Tangut表意文字L2008-5565
1857C: Tangutの表意文字L2008-5469
1857D: Tangutの表意文字L2008-5427
1857E: Tangut表意文字L2008-5851
1857F: Tangutの表意文字L2008-5856
18580: Tangutの表意文字L2008-5879
18581: Tangutの表意文字L2008-5969
18582: Tangutの表意文字L2008-5194
18583: Tangutの表意文字L2008-5139
18584: Tangutの表意文字L2008-5161
18585: Tangutの表意文字L2008-5287
18586: Tangutの表意文字L2008-4946
18587: Tangutの表意文字L2008-4873
18588: Tangutの表意文字L2008-4779
18589: Tangut表意文字L2008-5402
1858A: Tangutの表意文字L2008-5382
1858B: Tangut表意文字L2008-5752
1858C: タング付表意文字L2008-5619
1858D: Tangut表意文字L2008-5618
1858E: Tangutの表意文字L2008-5395
1858F: Tangut表意文字L2008-5374
18590: Tangut表意文字L2008-5193
18591: Tangutの表意文字L2008-5643
18592: Tangutの表意文字L2008-5733
18593: Tangutの表意文字L2008-5745
18594: Tangutの表意文字L2008-5230
18595: タング付表意文字L2008-5376
18596: Tangutの表意文字L2008-5162
18597: Tangutの表意文字L2008-5173
18598: Tangut表意文字L2008-5232
18599: Tangutの表意文字L2008-5249
1859A: Tangut表意文字L2008-5408
1859B: Tangut表意文字L2008-5345
1859C: タング付表意文字L2008-5015
1859D: タング付表意文字L2008-4715
1859E: Tangutの表意文字L2008-4679
1859F: Tangutの表意文字L2008-4764
185A0: タング付表意文字L2008-4780
185A1: タングタング表意文字S1968-2589
185A2: タング付表意文字L2008-4930
185A3: タング付表意文字L2008-4738
185A4: Tangutの表意文字L2008-4755
185A5: Tangutの表意文字L2008-4877
185A6: Tangut表意文字L2008-4891
185A7: タング付表意文字L2008-4935
185A8: Tangutの表意文字L2008-4897
185A9: Tangutの表意文字L2008-4787
185AA: タング付表意文字L2008-4813
185AB: Tangutの表意文字L2008-4908
185AC: Tangutの表意文字L2008-5046
185AD: タング付表意文字L2008-4680
185AE: Tangutの表意文字L2008-4846
185AF: タング付表意文字L2008-4814
185B0: Tangutの表意文字L2008-5041
185B1: タング付表意文字L2008-4717
185B2: タングタング表意文字S1968-2556
185B3: タング付表意文字L2008-5000
185B4: Tangutの表意文字L2008-4705
185B5: Tangut表意文字L2008-5019
185B6: Tangutの表意文字L2008-4879
185B7: タング付表意文字L2008-4688
185B8: Tangutの表意文字L2008-4996
185B9: タング付表意文字L2008-4817
185BA: Tangutの表意文字L2008-4909
185BB: Tangutの表意文字L2008-5013
185BC: タング付表意文字L2008-4815
185BD: タング付表意文字L2008-4816
185BE: タング付表意文字L2008-4745
185BF: Tangut表意文字L2008-5033
185C0: Tangutの表意文字L2008-5047
185C1: タング付表意文字L2008-4735
185C2: Tangutの表意文字L2008-5010
185C3: Tangutの表意文字L2008-4966
185C4: タング付表意文字L2008-4919
185C5: Tangutの表意文字L2008-4781
185C6: タング付表意文字L2008-4917
185C7: Tangutの表意文字L2008-4716
185C8: Tangutの表意文字L2008-5017
185C9: Tangutの表意文字L2008-4967
185CA: タング付表意文字L2008-4880
185CB: タング付表意文字L2008-4999
185CC: タング付表意文字L2008-4898
185CD: Tangutの表意文字L2008-4878
185CE: Tangutの表意文字L2008-5008
185CF: Tangutの表意文字L2008-4997
185D0: Tangutの表意文字L2008-4841
185D1: Tangut表意文字L2008-6057
185D2: Tangutの表意文字L2008-5146
185D3: Tangutの表意文字L2008-5131
185D4: Tangutの表意文字L2008-5719
185D5: Tangutの表意文字L2008-5464
185D6: Tangutの表意文字L2008-5569
185D7: Tangutの表意文字L2008-5429
185D8: Tangutの表意文字L2008-5718
185D9: Tangutの表意文字L2008-5568
185DA: Tangutの表意文字L2008-5369
185DB: Tangutの表意文字L2008-5430
185DC: Tangutの表意文字L2008-5098
185DD: タング付表意文字L2008-5252
185DE: Tangutの表意文字L2008-5349
185DF: Tangutの表意文字L2008-5776
185E0: Tangutの表意文字L2008-5689
185E1: Tangutの表意文字L2008-5775
185E2: Tangutの表意文字L2008-5251
185E3: Tangutの表意文字L2008-5407
185E4: Tangutの表意文字L2008-5053
185E5: タング付表意文字L2008-5255
185E6: タングタング表意文字N1966-172-041
185E7: Tangutの表意文字L2008-1851
185E8: タング付表意文字L2008-0857
185E9: タング付表意文字L2008-1055
185EA: タング付表意文字L2008-1175
185EB: タング付表意文字L2008-0255
185EC: Tangutの表意文字L2008-0557
185ED: Tangutの表意文字L2008-1673
185EE: Tangut表意文字L2008-1333
185EF: Tangutの表意文字L2008-1746
185F0: Tangutの表意文字L2008-0864
185F1: Tangutの表意文字L2008-0674
185F2: タング付表意文字L2008-0248
185F3: Tangutの表意文字L2008-0766
185F4: タング付表意文字L2008-1141
185F5: タング付表意文字L2008-0550
185F6: タング付表意文字L2008-0803
185F7: タング付表意文字L2008-0713
185F8: タング付表意文字L2008-0380
185F9: タング付表意文字L2008-1308
185FA: Tangutの表意文字L2008-0686
185FB: タング付表意文字L2008-0834
185FC: タング付表意文字L2008-0442
185FD: Tangutの表意文字L2008-0590
185FE: タング付表意文字L2008-1387
185FF: タング付表意文字L2008-0307
